f_id,current_name,correct_name,pfam_acc,introduced_release
1008.1.1.102,PF29780,CfpA_N,PF29780,v293.1
1008.1.1.62,PF30465,Akirin,PF30465,v293.1
1008.1.1.80,PF26022,CC_Liprin_beta,PF26022,v293.1
1008.1.1.81,PF27002,FAM193A_N,PF27002,v293.1
1009.1.1.1,PF31211,Taz1_DD,PF31211,v293.1
1010.1.1.1,PF31212,AvrRxo1-ORF2,PF31212,v293.1
101.1.10.37,PF26138,DUF8040,PF26138,v293.1
101.1.10.44,PF28924,DUF8481,PF28924,v293.1
101.1.10.50,PF29928,BUR2_N,PF29928,v293.1
101.1.10.51,PF29927,BUR2_C,PF29927,v293.1
101.1.10.56,PF28509,DUF8418,PF28509,v293.1
101.1.10.58,PF30926,MED16_helical,PF30926,v293.1
101.1.10.72,PF29830,YRF11-like_helical,PF29830,v293.1
101.1.10.73,PF30230,YPL039W,PF30230,v293.1
101.11.1.10,PF26576,IBH1_N,PF26576,v293.1
101.1.11.122,PF30224,MazE1,PF30224,v293.1
101.1.11.136,PF30992,CABIN1_C,PF30992,v293.1
101.1.11.147,PF28575,ZEB2_helical,PF28575,v293.1
101.1.11.173,PF25911,AHC1_C,PF25911,v293.1
101.1.11.176,PF27936,PROSER3,PF27936,v293.1
101.1.11.179,PF25977,DZIP1,PF25977,v293.1
101.1.11.189,PF26688,RHH_12,PF26688,v293.1
101.1.11.207,PF26048,RHH_11,PF26048,v294
101.1.11.208,PF26261,DUF8065,PF26261,v294
101.1.11.209,PF26471,DUF8146,PF26471,v294
101.1.11.210,PF27807,DNA_S_mod_dnd_assoc_4,PF27807,v294
10.1.1.114,PF29973,RIPR_C,PF29973,v293.1
101.1.12.12,PF27943,CCDC54,PF27943,v293.1
101.1.1.267,PF26138,DUF8040,PF26138,v293.1
101.1.1.273,PF26094,HTH_TSHZ3,PF26094,v293.1
101.1.1.281,PF25981,HTH_Cic_C,PF25981,v293.1
101.1.1.283,PF28924,DUF8481,PF28924,v293.1
101.1.1.284,PF30445,Tnp_IS2_N,PF30445,v293.1
101.1.1.286,PF27813,CCDC148,PF27813,v293.1
101.1.1.287,PF28388,Vertnin_mid,PF28388,v293.1
101.1.1.291,PF26175,HTH_FAR1,PF26175,v293.1
101.1.1.294,PF31176,LIN14_BEN,PF31176,v293.1
101.1.1.299,PF26285,SASH1_Homeodomain,PF26285,v293.1
101.1.1.303,PF25896,HTH_AT3G52170,PF25896,v293.1
101.1.1.313,PF29968,Tiggrin_M,PF29968,v293.1
101.1.1.317,PF27073,FAM200-ZBED5_RNase-like,PF27073,v293.1
101.1.1.318,PF30335,IbrB_C,PF30335,v293.1
101.1.1.320,PF26805,DUF8553,PF26805,v293.1
101.1.1.323,PF29491,Teflon_middle,PF29491,v293.1
101.1.1.325,PF26093,HTH_TGH,PF26093,v293.1
101.1.1.327,PF30851,DUF8751,PF30851,v293.1
101.1.13.3,PF27070,HTH_Rpn_C,PF27070,v293.1
101.1.1.331,PF27957,Attf-4-like,PF27957,v293.1
101.1.1.335,PF25871,HTH_76,PF25871,v293.1
101.1.1.338,PF28255,CIP1_helical,PF28255,v293.1
101.1.1.340,PF28509,DUF8418,PF28509,v293.1
101.1.1.348,PF30461,Tnp_IS30_N,PF30461,v293.1
101.1.1.350,PF29400,RtcR_C,PF29400,v293.1
101.1.1.374,PF28962,Mu-transpos_M,PF28962,v293.1
101.1.1.377,PF29033,YBL029W_C,PF29033,v293.1
101.1.1.390,PF27054,Beta_methylindole_red_C,PF27054,v293.1
101.1.1.397,PF30176,wHTH_Par,PF30176,v293.1
101.1.1.398,PF31026,LST2_mid,PF31026,v293.1
101.1.1.407,PF31276,DUF8849,PF31276,v293.1
101.1.1.409,PF31246,DUF8843,PF31246,v293.1
101.1.14.4,PF31232,AI3_C,PF31232,v293.1
101.1.1.456,PF30819,CEP152_CC2,PF30819,v293.1
101.1.1.461,PF29687,TnsB_2nd,PF29687,v293.1
101.1.1.462,PF27135,HTH_TnsB,PF27135,v293.1
101.1.1.463,PF31175,DUF8833,PF31175,v293.1
101.1.1.473,PF29860,ZTF17_helical,PF29860,v293.1
101.1.1.474,PF29702,Ty4_N,PF29702,v293.1
101.1.1.477,PF29315,BUD8_BUD9_C,PF29315,v293.1
