PF26733	03009_C
PF10417	1-cysPrx_C
PF21734	10_blade
PF21578	117-like_vir
PF12574	120_Rick_ant
PF09847	12TM_1
PF26127	12TM_Mok13
PF00244	14-3-3
PF16998	17kDa_Anti_2
PF28546	1TM_TonB
PF28545	1TM_TonB_rel
PF00389	2-Hacid_dh
PF02826	2-Hacid_dh_C
PF00198	2-oxoacid_dh
PF16078	2-oxogl_dehyd_N
PF04029	2-ph_phosp
PF04463	2-thiour_desulf
PF27735	2-thiour_desulf_put
PF16620	23ISL
PF05635	23S_rRNA_IVP
PF20758	2B_soluble
PF22545	2CompARG
PF22546	2CompART
PF08521	2CSK_N
PF08793	2C_adapt
PF20150	2EXR
PF11591	2Fe-2S_Ferredox
PF01257	2Fe-2S_thioredx
PF08975	2H-phosphodiest
PF22547	2H-SAK
PF03390	2HCT
PF21584	2L_N_poxvirus
PF03171	2OG-FeII_Oxy
PF13532	2OG-FeII_Oxy_2
PF13640	2OG-FeII_Oxy_3
PF13661	2OG-FeII_Oxy_4
PF13759	2OG-FeII_Oxy_5
PF20515	2OG-FeII_Oxy_6
PF10014	2OG-Fe_Oxy_2
PF13239	2TM
PF23143	2TM_P5A-ATPase
PF13563	2_5_RNA_ligase2
PF06983	3-dmu-9_3-mt
PF06052	3-HAO
PF12578	3-PAP
PF17644	30K_MP_core
PF11330	30K_MP_C_Ter
PF00803	3A
PF01073	3Beta_HSD
PF06725	3D
PF02829	3H
PF22951	3HBD
PF10605	3HBOH
PF25869	3HB_CusB
PF00725	3HCDH
PF02737	3HCDH_N
PF18321	3HCDH_RFF
PF29288	3H_bundle_halo
PF06439	3keto-disac_hyd
PF16121	40S_S4_C
PF16122	40S_SA_C
PF17947	4HB
PF03061	4HBT
PF13279	4HBT_2
PF13622	4HBT_3
PF20789	4HBT_3C
PF23313	4HB_KIF14
PF12729	4HB_MCP_1
PF26249	4HB_RdRP3_N
PF04476	4HFCP_synth
PF18671	4HPAD_g_N
PF17837	4PPT_N
PF28548	4TM_phosphoesterase
PF05902	4_1_CTD
PF01812	5-FTHF_cyc-lig
PF06189	5-nucleotidase
PF09038	53-BP1_Tudor
PF21432	56B_RHH
PF03491	5HT_transport_N
PF07694	5TM-5TMR_LYT
PF25221	5TMH_Lnb
PF01367	5_3_exonuc
PF02739	5_3_exonuc_N
PF05761	5_nucleotid
PF02872	5_nucleotid_C
PF02096	60KD_IMP
PF27023	6BHPP
PF01591	6PF2K
PF00393	6PGD
PF22242	6PGD_like
PF27505	6PGD_Tyr1_C
PF23022	6TM_1st_PGAP2IP
PF23021	6TM_2nd_PGAP2IP
PF25323	6TM_PilS
PF02294	7kD_DNA_binding
PF07698	7TM-7TMR_HD
PF07696	7TMR-DISMED2
PF07695	7TMR-DISM_7TM
PF07697	7TMR-HDED
PF00001	7tm_1
PF00002	7tm_2
PF00003	7tm_3
PF13853	7tm_4
PF02949	7tm_6
PF08395	7tm_7
PF30597	7TM_cyano
PF02117	7TM_GPCR_Sra
PF10292	7TM_GPCR_Srab
PF02175	7TM_GPCR_Srb
PF10316	7TM_GPCR_Srbc
PF10317	7TM_GPCR_Srd
PF10318	7TM_GPCR_Srh
PF10327	7TM_GPCR_Sri
PF10319	7TM_GPCR_Srj
PF10320	7TM_GPCR_Srsx
PF10321	7TM_GPCR_Srt
PF10322	7TM_GPCR_Sru
PF10323	7TM_GPCR_Srv
PF10324	7TM_GPCR_Srw
PF10328	7TM_GPCR_Srx
PF10325	7TM_GPCR_Srz
PF10326	7TM_GPCR_Str
