ecod_uid,new_f_id
3332625,101.1.2.498
3621333,101.1.2.676
3989255,101.1.9.141
3420834,109.4.1.1254
3676373,109.4.1.1291
3425002,109.4.1.1298
3513682,109.4.1.1317
3187681,109.4.1.1340
3192734,109.4.1.1360
3676400,109.4.1.1373
3196629,109.4.1.1380
3921528,109.4.1.1420
3869101,109.4.1.1429
3520480,109.4.1.1432
3077426,109.4.1.1456
3724744,109.4.1.1482
3744254,109.4.1.1490
3696959,109.4.1.1526
3312444,109.4.1.1532
3735897,109.4.1.1551
3993353,109.4.1.1644
3208003,109.4.1.1685
3692616,109.4.1.1755
3530947,109.4.1.1807
3680397,109.4.1.1862
3273328,109.4.1.1874
3916712,109.4.1.1878
3171078,109.4.1.1932
3216039,109.4.1.1945
3933480,109.4.1.1946
3194616,109.4.1.1975
3543247,109.4.1.2025
3640594,109.4.1.2200
3633705,109.4.1.2507
3825527,109.4.1.2793
3899300,109.4.1.2873
3394514,109.4.1.3380
3882607,11.1.1.860
3584829,11.1.1.888
3842059,11.1.1.927
3421072,1.1.1.30
3265748,150.1.1.100
3388565,192.8.1.372
4006212,2003.1.1.192
3616040,2003.1.2.103
3600560,2004.1.1.535
3280179,2004.1.1.552
3520924,206.1.1.88
3302627,207.1.1.132
3450762,207.1.1.172
3249938,207.9.1.6
3362433,2.1.1.250
4008916,223.1.1.103
3216011,243.1.1.109
3587928,2484.1.1.202
3977985,2485.3.1.18
3753958,304.9.1.112
3365352,309.1.1.16
3572117,376.1.2.17
3542350,389.1.1.98
3173156,4.1.1.344
3210772,5001.1.1.133
3311390,5050.1.1.58
3813242,5069.1.1.56
3237954,603.1.1.139
3466926,7516.1.1.105
3666677,7516.1.1.110
3694946,7568.1.1.21
3970450,7581.1.1.50
4001860,804.1.1.3
1031323,101.1.1.276
2671940,101.1.1.285
164353,102.1.1.96
161019,109.3.1.163
2976519,109.3.1.200
2048354,109.4.1.1258
1123783,109.4.1.1275
1487475,109.4.1.1294
2095496,109.4.1.1304
1722652,109.4.1.1315
1182357,109.4.1.1347
1673889,109.4.1.1398
1878863,109.4.1.1440
4586,109.4.1.1501
424333,109.4.1.1536
2171546,109.4.1.1537
1610272,109.4.1.1562
2125177,109.4.1.1630
2462397,109.4.1.1773
2841850,109.4.1.1965
1122217,109.4.1.2093
180062,109.4.1.2437
3098939,109.4.1.2447
184739,130.1.1.33
1390914,187.1.1.14
375982,2004.1.1.437
143810,2004.1.1.465
2116453,2004.1.1.602
7193,207.1.1.164
2579494,247.1.1.40
149006,2486.1.1.14
3943050,274.1.1.51
3582569,3755.3.1.348
2163927,386.1.1.233
1758652,4.1.1.300
1545159,5.1.4.281
1918766,883.1.1.19
