ecod_uid,f_id,ecod_domain_id,ecod_source_id,seqid_range,dtype
5018133,10.1.3.186,Q8PSQ6_F1_nD1,Q8PSQ6_F1,26-320,computed structural model
4996988,10.1.3.182,EPP00006742_nD1,EPP00006742,41-205,computed structural model
5039238,10.1.3.191,A0A2P6VW49_F1_nD4,A0A2P6VW49_F1,446-580,computed structural model
5041016,10.1.3.181,A0A2P6VTD8_F1_nD1,A0A2P6VTD8_F1,26-190,computed structural model
5021919,10.1.3.194,Q8Q0C6_F1_nD2,Q8Q0C6_F1,326-495,computed structural model
5030035,10.1.3.193,A0A0B5HQ86_F1_nD2,A0A0B5HQ86_F1,216-370,computed structural model
5063414,10.1.3.196,UPI002A95EF10_nD1,UPI002A95EF10,21-210,computed structural model
5083988,10.1.3.189,UPI003766C037_nD5,UPI003766C037,"26-35,671-690,836-955",computed structural model
5006324,10.1.3.201,O28648_F1_nD3,O28648_F1,"391-435,461-580",computed structural model
5044661,10.1.3.183,A0A5C9DYU7_F1_nD2,A0A5C9DYU7_F1,201-300,computed structural model
5033447,10.1.3.184,A0A151E0V8_F1_nD2,A0A151E0V8_F1,331-540,computed structural model
4945064,10.1.3.192,A0A9Y1BMI6_F1_nD3,A0A9Y1BMI6_F1,276-390,computed structural model
5010848,10.1.3.187,Q4J9N3_F1_nD2,Q4J9N3_F1,191-345,computed structural model
5032460,10.1.3.180,A0A0P9E0Q4_F1_nD1,A0A0P9E0Q4_F1,1-80,computed structural model
4945587,10.1.3.188,A0A9Y1BNU6_F1_nD1,A0A9Y1BNU6_F1,21-140,computed structural model
5031168,10.1.3.190,A0A0P9E691_F1_nD3,A0A0P9E691_F1,"61-105,436-540",computed structural model
4962830,10.1.3.197,D4GSL2_F1_nD3,D4GSL2_F1,126-220,computed structural model
4962578,10.1.3.198,D4GRZ7_F1_nD1,D4GRZ7_F1,1-130,computed structural model
5049226,10.1.3.199,A0A532T9F8_F1_nD1,A0A532T9F8_F1,6-210,computed structural model
5034239,10.1.3.200,A0A151E813_F1_nD1,A0A151E813_F1,26-220,computed structural model
