ecod_uid	domain_id	v38_verdict	missing_Q	strongest_Q	v38_score	v38_GA	protein_id	range
10878	e1hnjA1	Q_sub_GA	PF00108	PF00108	25.0	26.4	1130425	A:1-174
1693513	e1ihmA2	Q_absent	PF00915	PF00915		20.0	1140368	A:229-277,A:407-520
9602	e1n0uA5	Q_sub_GA	PF01926	PF01926	19.8	21.9	664989	A:3-343
119021	e1r7rA6	Q_sub_GA	PF05496	PF05496	24.6	27.0	950689	A:471-648
9605	e1wf3A2	Q_sub_GA	PF00350	PF00350	26.5	27.0	1078317	A:3-180
9600	e2bv3A5	Q_sub_GA	PF01926	PF01926	17.5	21.9	956688	A:7-41,A:61-282
9183	e2g5cA2	Q_sub_GA	PF03807	PF03807	21.4	21.6	760956	A:1-171
10114	e2shpA3	Q_sub_GA	PF22784	PF22784	26.6	27.0	827830	A:219-525
184980	e2x58A2	Q_sub_GA	PF03807	PF03807	20.0	21.6	953708	A:298-481
5478	e3c8yA3	Q_sub_GA	PF00037,PF12837	PF00037	19.7	21.1	552982	A:127-209
1870442	e3cmmA1	Q_absent	PF16191	PF16191		25.0	1062846	A:3-165,A:252-275,A:348-396
223848	e3iddA1	Q_absent	PF10143	PF10143		21.5	1054043	A:6-91,A:233-400
1389177	e3izq11	Q_sub_GA	PF01926	PF01926	19.3	21.9	1067312	1:161-390
1117696	e3vkhA3	Q_absent	PF12774	PF12774		25.2	1037615	A:870-1050
1031105	e3zztA4	Q_sub_GA	PF01926	PF01926	20.2	21.9	552118	A:1-282
1556802	e4ad8A1	Q_absent	PF13476	PF13476		27.0	972534	A:38-174,A:340-516
1125473	e4ij2F1	Q_sub_GA	PF10049	PF10049	21.8	23.0	1009428	F:2-140
1108126	e4kc5A1	Q_sub_GA	PF00108	PF00108	24.5	26.4	1146490	A:8-270
1447873	e4rh7A4	Q_absent	PF12774	PF12774		25.2	946723	A:1076-1260
