ecod_uid,stored_verdict,fresh_verdict
10781,no_dominant_pfam,ambiguous_both
9605,points_to_other_fgroup,ambiguous_both
9878,points_to_other_fgroup,ambiguous_both
118964,points_to_other_fgroup,ambiguous_both
9871,points_to_other_fgroup,ambiguous_both
10852,points_to_other_fgroup,ambiguous_both
2198,points_to_other_fgroup,ambiguous_both
1723258,points_to_other_fgroup,ambiguous_both
3152,points_to_other_fgroup,ambiguous_both
1144179,points_to_other_fgroup,ambiguous_both
9608,points_to_other_fgroup,ambiguous_both
9774,points_to_other_fgroup,ambiguous_both
9109,points_to_other_fgroup,ambiguous_both
2075048,points_to_other_fgroup,ambiguous_both
9624,points_to_other_fgroup,ambiguous_both
1594,points_to_other_fgroup,no_dominant_pfam
1487349,points_to_other_fgroup,no_dominant_pfam
2225,points_to_other_fgroup,no_dominant_pfam
1779584,points_to_other_fgroup,no_dominant_pfam
4551,points_to_other_fgroup,no_dominant_pfam
9911,points_to_other_fgroup,supports_commons
10811,points_to_other_fgroup,supports_commons
1716676,points_to_other_fgroup,supports_commons
2324055,points_to_other_fgroup,supports_commons
3174,points_to_other_fgroup,supports_commons
8462,points_to_other_fgroup,supports_commons
1070876,points_to_other_fgroup,supports_commons
9910,points_to_other_fgroup,supports_commons
185910,points_to_other_fgroup,supports_commons
9749,points_to_other_fgroup,supports_old_ecod_rep
1411386,supports_commons,no_dominant_pfam
1316581,supports_commons,no_dominant_pfam
11490,supports_old_ecod_rep,supports_commons
146239,supports_old_ecod_rep,supports_commons
1933300,supports_old_ecod_rep,supports_commons
7316,supports_old_ecod_rep,supports_commons
