192.7.1.83	PF23735	3875862	Q9WV04_F1_nD3	501311	581-705	afdb	125
101.1.9.128	PF00376,PF09278,PF13411	3284729	K0FCS3_F1_nD1	263241	1-110	afdb	110
389.7.1.6	PF25478	3362885	I1KE68_F1_nD3	238932	286-330	afdb	45
101.1.2.883	PF04055	4944767	A0A9Y1BLW5_F1_nD1	1769996	21-95	afdb	
101.1.2.679	PF15019	3514321	A0A077Z9H3_F1_nD2	13018	256-350,376-465	afdb	185
192.8.1.393	PF27583	3766317	A0A0G2K0W5_F1_nD1	32132	41-180	afdb	140
5.1.3.234	PF25463	3367529	K7KV09_F1_nD1	266670	6-250	afdb	245
5.1.4.662	PF02239	5022169	Q8Q0U2_F1_nD3	1815997	466-780	afdb	
376.1.1.165	PF01363	3717337	Q4DL90_F1_nD1	374243	76-150	afdb	75
7503.1.1.23	PF28194	3388351	P0C633_F1_nD1	300373	41-214	afdb	174
2.1.1.318	PF23045	3230584	O45458_F1_nD1	288010	1-50	afdb	50
192.6.1.8	PF09751	3722548	A0A0D2G661_F1_nD1	24627	41-90	afdb	50
101.1.6.27	PF26138	3469230	A0A0P0WYA4_F1_nD1	67519	51-140	afdb	90
103.12.1.10	PF12041	3321056	I1MZE2_F1_nD1	250955	41-105	afdb	65
3409.1.1.12	PF00038	3628018	P31732_F1_nD3	308055	181-265	afdb	85
101.11.1.13	PF19094	4993526	EPP00013000_nD1	1800288	6-93	epp	
109.4.1.3531	PF08389,PF24138,PF24139	3552725	Q9Y5L0_F1_nD1	503759	1-365,681-923	afdb	608
2484.1.1.300	PF00155	3606980	Q38BR5_F1_nD1	359889	41-170,251-285	afdb	165
5094.1.1.11	PF10154	3857887	Q91YN0_F1_nD1	457189	11-85	afdb	75
4.1.1.427	PF00646	3304602	K7LDK7_F1_nD2	268780	61-155	afdb	95
109.35.1.16	PF01851,PF21505	3241539	Q18115_F1_nD1	340558	16-765,796-880,936-960	afdb	860
243.3.1.68	PF03413,PF07504	4315975	P24153_nD1	1417884	26-190	afdb	165
1.1.8.26	PF26503	4963592	D4GUF1_F1_nD3	1780961	216-255,281-310	afdb	
4294.1.1.11	PF04851	4945330	A0A9Y1BN12_F1_nD1	1770331	1-70	afdb	
7579.1.1.215	PF00561,PF04083,PF12146	3658046	A0A1D6EEF7_F1_nD1	110858	36-410	afdb	375
4982.1.1.9	PF05987	5082199	UPI00375855A4_nD2	1853047	46-125	uniparc	
109.4.1.3505	PF00515,PF13424,PF13428,PF13431	3399611	Q9VF81_F1_nD3	496229	426-545	afdb	120
5046.1.1.222	PF28621	3311353	I1LHI3_F1_nD4	244076	231-330	afdb	100
872.1.1.11	PF27391	4265082	O83948_nD1	1401167	41-85,111-150	afdb	85
101.1.2.571	PF12078	3237375	Q9TZG0_F1_nD3	491981	271-405	afdb	135
