ecod_uid,new_f_id
118927,108.1.1.97
9677,2004.1.1.417
11057,213.1.1.72
10781,7579.1.1.89
10780,7579.1.1.89
9036,2003.1.1.152
3761,601.23.1.4
118943,108.1.1.96
9996,2007.2.1.9
9294,2003.1.3.15
9015,2500.1.1.7
118952,108.1.1.99
9356,2003.1.5.153
118964,108.1.1.97
118965,108.1.1.99
9355,2003.1.5.153
10804,7579.1.1.93
7073,206.1.1.70
1107957,205.1.1.48
9777,2004.1.1.420
9608,2004.1.1.414
1088763,1.1.1.27
7079,206.1.1.70
1088767,1.1.1.27
119003,108.1.1.97
3161,108.1.1.96
4922,5054.1.1.59
9044,2003.1.1.141
3152,108.1.1.96
4234,5069.1.1.54
7437,237.1.1.33
2827,101.1.9.82
1514546,2003.1.5.182
9690,2004.1.1.1172
7425,235.1.1.32
10163,2011.1.1.20
2825,101.1.9.82
9227,2003.1.2.60
119032,108.1.1.98
7096,206.1.1.70
1088769,1.1.1.27
1141779,7581.1.1.24
11071,213.1.1.72
9698,2004.1.1.508
10839,7579.1.1.89
9693,2004.1.1.417
586,4.1.1.295
9688,2004.1.1.481
2198,5.1.3.134
3762,601.23.1.4
10875,7581.1.1.22
2075048,2006.1.1.44
119099,108.1.1.103
7095,206.1.1.71
1684052,2003.2.1.8
7078,206.1.1.72
9109,2003.1.1.148
9877,2006.1.1.46
8696,2002.1.1.263
1514550,2003.1.5.155
9626,2004.1.1.414
4936,315.1.1.9
9644,2004.1.1.419
1568669,1.1.1.27
9878,2006.1.1.44
9093,2003.1.1.141
10782,7579.1.1.89
9624,2004.1.1.414
9601,2004.1.1.414
9184,2003.1.1.147
9382,2003.1.5.152
9871,2006.1.1.44
7063,206.1.1.70
9406,2003.1.5.201
2192,5.1.3.136
10852,7579.1.1.94
9230,2003.1.2.73
10862,7579.1.1.118
7099,206.1.1.70
1145809,108.1.1.97
10975,4176.1.1.2
1148095,2004.1.1.433
3163,108.1.1.96
4575,109.4.1.1316
8457,389.1.1.97
3148,108.1.1.99
1870438,109.4.1.1255
9237,2003.1.2.99
2033698,205.1.1.44
7065,206.1.1.73
9695,2004.1.1.417
185234,5.1.7.4
1551400,4.1.1.314
1498230,12.1.1.117
223873,70.3.1.11
119500,101.1.1.301
1843702,7515.1.1.15
1005523,2004.1.1.654
1841007,109.3.1.176
1088849,206.1.1.70
1145884,206.1.1.70
1145908,206.1.1.70
1031124,206.1.1.72
1147811,109.4.1.1384
1549037,206.1.1.70
1121969,2484.1.1.197
1144179,206.1.1.71
1495179,2004.1.1.473
1322288,206.1.1.70
1723255,1033.1.1.3
1447958,2004.1.1.429
1731077,2004.1.1.436
1723258,206.1.1.72
1555749,109.4.1.1299
1716688,2002.1.1.263
1889998,109.4.1.1259
1933284,109.4.1.1333
1866768,2486.1.1.15
1779592,109.4.1.1620
1870486,2004.1.1.431
2044878,2004.1.1.480
1885547,2003.1.5.152
2072472,1075.5.1.12
1933321,5054.1.1.59
2084847,108.1.1.97
8800,2002.1.1.266
4549,109.4.1.1802
4585,109.4.1.1321
9709,2004.1.1.489
4550,109.4.1.1288
1594,11.1.1.870
9835,2005.1.1.47
7190,207.1.1.199
5482,205.1.1.47
2205,5.1.4.291
2225,5.1.4.405
3263,198.1.1.13
4604,109.4.1.1265
3262,198.1.1.26
4537,109.4.1.1793
4606,109.4.1.1283
7191,207.1.1.165
2826,101.1.9.82
6236,221.4.1.23
10820,7579.1.1.97
2224,5.1.4.257
1291890,2490.3.1.3
2200,5.1.3.134
9623,2004.1.1.597
7388,219.1.1.111
7939,4986.1.1.4
5389,304.60.1.8
2187,5.1.3.117
7227,207.9.1.7
4616,109.4.1.1299
9843,2005.1.1.54
7389,219.1.1.111
1145793,109.4.1.1438
1842535,109.4.1.1442
11511,2490.3.1.3
2218,5.1.4.310
185295,207.2.1.75
1148107,5.1.5.78
1951795,2490.3.1.3
1411386,10.12.1.101
147021,3234.1.1.2
185457,3305.1.1.7
1031089,5.1.5.75
2066777,207.1.1.210
185635,4.1.1.391
1124192,109.35.1.10
1126564,109.4.1.2094
1019409,247.1.1.29
1291870,109.4.1.1389
1291871,109.4.1.1389
1820968,207.1.1.323
1180304,207.1.1.158
1141025,109.4.1.1575
1348265,109.4.1.1350
1721533,139.2.1.17
