ecod_uid,commons_f,old_f
3332625,101.1.2.498,101.1.2.304
3621333,101.1.2.676,101.1.2.256
3989255,101.1.9.141,101.1.9.33
3420834,109.4.1.1254,109.4.1.420
3676373,109.4.1.1291,109.4.1.621
3425002,109.4.1.1298,109.4.1.404
3513682,109.4.1.1317,109.4.1.592
3187681,109.4.1.1340,109.4.1.373
3192734,109.4.1.1360,109.4.1.574
3676400,109.4.1.1373,109.4.1.594
3196629,109.4.1.1380,109.4.1.377
3921528,109.4.1.1420,109.4.1.331
3869101,109.4.1.1429,109.4.1.309
3520480,109.4.1.1432,109.4.1.442
3077426,109.4.1.1456,109.4.1.46
3724744,109.4.1.1482,109.4.1.553
3744254,109.4.1.1490,109.4.1.443
3696959,109.4.1.1526,109.4.1.326
3312444,109.4.1.1532,109.4.1.667
3735897,109.4.1.1551,109.4.1.472
3993353,109.4.1.1644,109.4.1.330
3208003,109.4.1.1685,109.4.1.1241
3692616,109.4.1.1755,109.4.1.460
3530947,109.4.1.1807,109.4.1.1181
3680397,109.4.1.1862,109.4.1.813
3273328,109.4.1.1874,109.4.1.821
3916712,109.4.1.1878,109.4.1.539
3171078,109.4.1.1932,109.4.1.590
3216039,109.4.1.1945,109.4.1.839
3933480,109.4.1.1946,109.4.1.449
3194616,109.4.1.1975,109.4.1.544
3543247,109.4.1.2025,621.1.1.6
3640594,109.4.1.2200,109.4.1.446
3633705,109.4.1.2507,109.4.1.656
3825527,109.4.1.2793,109.4.1.465
3899300,109.4.1.2873,109.4.1.567
3394514,109.4.1.3380,109.4.1.557
3882607,11.1.1.860,10.1.1.68
3584829,11.1.1.888,11.1.1.437
3842059,11.1.1.927,11.1.1.789
3421072,1.1.1.30,1.1.1.17
3265748,150.1.1.100,150.1.1.21
3388565,192.8.1.372,192.8.1.248
4006212,2003.1.1.192,2003.1.1.89
3616040,2003.1.2.103,2003.1.2.34
3600560,2004.1.1.535,2004.1.1.240
3280179,2004.1.1.552,2004.1.1.286
3520924,206.1.1.88,206.1.1.44
3302627,207.1.1.132,207.1.1.63
3450762,207.1.1.172,207.1.1.77
3249938,207.9.1.6,207.9.1.3
3362433,2.1.1.250,2.1.1.149
4008916,223.1.1.103,223.1.1.67
3216011,243.1.1.109,243.1.1.46
3587928,2484.1.1.202,2484.1.1.127
3977985,2485.3.1.18,2485.3.1.15
3753958,304.9.1.112,304.9.1.44
3365352,309.1.1.16,309.1.1.13
3572117,376.1.2.17,376.1.2.6
3542350,389.1.1.98,389.1.1.28
3173156,4.1.1.344,4.1.1.219
3210772,5001.1.1.133,5001.1.1.30
3311390,5050.1.1.58,5050.1.1.18
3813242,5069.1.1.56,5069.1.1.15
3237954,603.1.1.139,603.1.1.66
3466926,7516.1.1.105,7516.1.1.43
3666677,7516.1.1.110,7516.1.1.66
3694946,7568.1.1.21,7568.1.1.13
3970450,7581.1.1.50,7581.1.1.17
4001860,804.1.1.3,804.1.1.2
