ecod_uid,new_f_id
2491451,101.1.11.122
1772495,10.12.1.118
2770751,10.30.1.9
3022693,105.1.1.102
3775676,1065.1.1.7
2526918,109.17.1.6
2560572,109.2.1.75
1482703,109.3.1.164
4516,109.3.1.165
3287063,109.3.1.376
3715224,109.3.1.411
2391215,109.35.1.13
4554,109.4.1.1263
2080125,109.4.1.1287
1879627,109.4.1.1326
4578,109.4.1.1345
3101308,109.4.1.1359
4551,109.4.1.1394
1140573,109.4.1.1395
3071370,109.4.1.1397
4613,109.4.1.1413
1910322,109.4.1.1466
1088203,109.4.1.1538
1290148,109.4.1.1539
2875707,109.4.1.1613
3563491,109.4.1.1687
2323971,109.4.1.1697
4563,109.4.1.1707
4029506,109.4.1.1753
1118456,109.4.1.1920
3628307,109.4.1.2108
3519213,109.4.1.2122
3520619,109.4.1.2124
2129015,109.4.1.2130
2420868,109.4.1.2374
3407960,109.4.1.2423
3585480,109.4.1.2718
3169496,109.4.1.3165
3918871,109.4.1.3569
4560,109.4.1.3572
1758348,109.4.1.3579
3494631,11.1.1.1195
2592160,11.1.1.931
2576201,139.2.1.18
3704953,150.5.1.119
2322931,159.1.1.5
2797118,170.1.1.22
3630104,192.24.1.6
2967092,192.29.1.298
1240413,2002.1.1.269
9224,2003.1.2.63
9280,2003.1.2.69
9774,2004.1.1.415
2132493,2004.1.1.418
234135,2004.1.1.457
9749,2004.1.1.462
2420114,2004.1.1.463
1105357,2004.1.1.485
1779584,2004.1.1.514
2491385,2007.1.3.42
1167701,205.1.1.81
3671474,206.1.1.74
7192,207.1.1.130
7194,207.1.1.140
1030869,207.1.1.142
2141472,207.1.1.151
1255183,207.1.1.179
1284444,207.1.1.200
1759149,207.1.1.332
3531139,207.6.1.26
2491409,219.1.1.117
2625578,219.1.1.163
3785666,221.1.1.198
2491423,223.1.1.117
6738,244.4.1.3
3570901,2484.1.1.315
2136730,292.2.1.15
1180600,296.1.1.3
2491505,304.9.1.87
1497958,307.1.1.11
2137466,325.1.7.55
2702007,327.16.1.10
1914574,3488.1.1.3
3442375,3562.1.1.11
4508982,3598.1.1.4
1322546,3749.1.1.5
3375240,3755.3.1.575
2562106,383.1.1.21
3310103,386.1.1.235
3546631,386.1.1.238
3105394,386.1.1.262
3350636,386.1.1.324
2563417,386.1.1.417
2772055,389.4.1.18
3970339,3922.1.1.347
197758,4.1.1.328
3856317,4.1.1.361
3998805,4207.1.1.62
3905613,4207.1.1.77
139819,5087.1.1.4
1238188,5.1.3.154
1891495,5.1.3.172
1565096,5.1.4.10
1031088,5.1.4.274
2770114,5.1.4.301
2390508,5.1.4.314
3628522,5.1.4.489
2213,5.1.4.6
2531625,5.1.7.2
3628283,601.1.2.76
3922083,601.4.1.74
3321923,603.2.1.16
3905614,606.1.1.18
2646216,6.1.1.39
1002477,6119.1.1.2
2266,702.1.1.9
2491495,7035.1.1.2
2559798,7093.1.1.2
1780244,7512.1.1.86
1821028,7515.1.1.16
3286456,7581.1.1.32
2060964,931.1.1.11
