ecod_uid	domain_id	old_f	old_pfam	commons_f	new_pfam
9290	e1djqA3	2003.1.3.3	PF07992	2003.1.3.15	PF07992,PF13450
2298	e1dq3A1	69.1.1.4	PF14890	69.1.1.11	PF07591,PF14890
8818	e1gcyA2	2002.1.1.5	PF00128,PF09081	2002.1.1.301	PF09081
1107951	e1h0hB2	205.1.1.17	PF13247	205.1.1.71	PF12838,PF13247
11106	e1lrzA3	213.1.1.7	PF02388	213.1.1.75	PF02388,PF13480
1565411	e2vf7B2	2004.1.1.5	PF00005	2004.1.1.417	PF00005,PF13304
1407180	e4rcnA6	2486.1.1.3	PF01039	2486.1.1.15	PF01039,PF03255
2323923	e5oqdC1			376.1.3.56	PF30811
