fid,pfam_acc,ecod_uid,domain_id,source,seqlen,member_pfams,dominant,verdict
192.7.1.83,PF23735,3875862,Q9WV04_F1_nD3,afdb,125,PF23735,PF23735,concordant_exact
101.1.9.128,"PF00376,PF09278,PF13411",3284729,K0FCS3_F1_nD1,afdb,110,"PF09278,PF13411",PF09278,concordant_dominant
389.7.1.6,PF25478,3362885,I1KE68_F1_nD3,afdb,45,PF25478,PF25478,concordant_exact
101.1.2.883,PF04055,4944767,A0A9Y1BLW5_F1_nD1,afdb,,PF04055,PF04055,concordant_exact
101.1.2.679,PF15019,3514321,A0A077Z9H3_F1_nD2,afdb,185,PF15019,,concordant_exact
192.8.1.393,PF27583,3766317,A0A0G2K0W5_F1_nD1,afdb,140,PF27583,PF27583,concordant_exact
5.1.3.234,PF25463,3367529,K7KV09_F1_nD1,afdb,245,PF25463,,concordant_exact
5.1.4.662,PF02239,5022169,Q8Q0U2_F1_nD3,afdb,,PF02239,,concordant_exact
376.1.1.165,PF01363,3717337,Q4DL90_F1_nD1,afdb,75,PF01363,PF01363,concordant_exact
7503.1.1.23,PF28194,3388351,P0C633_F1_nD1,afdb,174,PF28194,PF28194,concordant_exact
2.1.1.318,PF23045,3230584,O45458_F1_nD1,afdb,50,PF23045,PF23045,concordant_exact
192.6.1.8,PF09751,3722548,A0A0D2G661_F1_nD1,afdb,50,PF09751,PF09751,concordant_exact
101.1.6.27,PF26138,3469230,A0A0P0WYA4_F1_nD1,afdb,90,PF26138,PF26138,concordant_exact
103.12.1.10,PF12041,3321056,I1MZE2_F1_nD1,afdb,65,PF12041,PF12041,concordant_exact
3409.1.1.12,PF00038,3628018,P31732_F1_nD3,afdb,85,PF00038,PF00038,concordant_exact
101.11.1.13,PF19094,4993526,EPP00013000_nD1,epp,,PF19094,PF19094,concordant_exact
109.4.1.3531,"PF08389,PF24138,PF24139",3552725,Q9Y5L0_F1_nD1,afdb,608,"PF08389,PF24138,PF24139",,concordant_exact
2484.1.1.300,PF00155,3606980,Q38BR5_F1_nD1,afdb,165,PF00155,PF00155,concordant_exact
5094.1.1.11,PF10154,3857887,Q91YN0_F1_nD1,afdb,75,PF10154,PF10154,concordant_exact
4.1.1.427,PF00646,3304602,K7LDK7_F1_nD2,afdb,95,PF00646,,concordant_exact
109.35.1.16,"PF01851,PF21505",3241539,Q18115_F1_nD1,afdb,860,"PF01851,PF21505",,concordant_exact
243.3.1.68,"PF03413,PF07504",4315975,P24153_nD1,afdb,165,"PF03413,PF07504",,concordant_exact
1.1.8.26,PF26503,4963592,D4GUF1_F1_nD3,afdb,,PF26503,PF26503,concordant_exact
4294.1.1.11,PF04851,4945330,A0A9Y1BN12_F1_nD1,afdb,,PF04851,PF04851,concordant_exact
7579.1.1.215,"PF00561,PF04083,PF12146",3658046,A0A1D6EEF7_F1_nD1,afdb,375,"PF00561,PF04083,PF12146",PF12146,concordant_exact
4982.1.1.9,PF05987,5082199,UPI00375855A4_nD2,uniparc,,PF05987,PF05987,concordant_exact
109.4.1.3505,"PF00515,PF13424,PF13428,PF13431",3399611,Q9VF81_F1_nD3,afdb,120,"PF00515,PF13424",,partial_overlap
5046.1.1.222,PF28621,3311353,I1LHI3_F1_nD4,afdb,100,PF28621,PF28621,concordant_exact
872.1.1.11,PF27391,4265082,O83948_nD1,afdb,85,PF27391,,concordant_exact
101.1.2.571,PF12078,3237375,Q9TZG0_F1_nD3,afdb,135,PF12078,,concordant_exact
3801.1.1.4,PF03683,4263447,Q9HSU8_nD2,afdb,45,PF03683,PF03683,concordant_exact
386.1.1.372,PF04434,3370807,K7KTY5_F1_nD1,afdb,109,PF04434,,concordant_exact
3755.3.1.590,PF29149,3245037,Q23064_F1_nD4,afdb,180,PF29149,PF29149,concordant_exact
2007.1.2.61,PF13685,4939278,A0A7C1B1L1_F1_nD1,afdb,,PF13685,PF13685,concordant_exact
101.1.8.16,PF14493,4245572,A5WFR0_nD4,afdb,70,PF14493,PF14493,concordant_exact
601.48.1.4,PF13329,4387540,P0CM31_nD4,afdb,85,PF13329,PF13329,concordant_exact
101.11.1.10,PF26576,3660653,K7UYY1_F1_nD1,afdb,110,PF26576,,concordant_exact
243.3.1.64,PF29059,3783275,A0A1D8PT68_F1_nD2,afdb,109,PF29059,,concordant_exact
207.1.1.386,PF14496,4326931,D0ZPH9_nD2,afdb,605,PF14496,,concordant_exact
904.1.1.42,PF15346,3384302,I1JXW5_F1_nD1,afdb,55,PF15346,PF15346,concordant_exact
601.2.1.29,"PF00258,PF12724",2388539,e5zkpA1,pdb,150,PF00258,PF00258,concordant_dominant
11.1.1.1325,"PF00207,PF07703,PF17789,PF21145",3751628,Q6MG90_F1_nD3,afdb,485,"PF00207,PF07703,PF17789,PF21145",,concordant_exact
109.3.1.340,"PF00023,PF13606,PF13637,PF13857",3897537,B0UXZ0_F1_nD1,afdb,170,"PF00023,PF13637",,partial_overlap
2.1.1.373,PF24370,4964634,D4GWU6_F1_nD1,afdb,,PF24370,PF24370,concordant_exact
109.4.1.3429,"PF28853,PF28855,PF28893",3403744,Q8IRS9_F1_nD2,afdb,535,"PF28853,PF28855,PF28893",,concordant_exact
601.14.1.9,PF24874,3385366,K7LGZ8_F1_nD16,afdb,130,PF24874,PF24874,concordant_exact
904.1.1.35,PF17807,3895529,A0A2R8Q525_F1_nD2,afdb,45,PF17807,PF17807,concordant_exact
622.1.1.30,PF26575,3427035,Q7XIF1_F1_nD1,afdb,65,PF26575,PF26575,concordant_exact
3921.1.1.6,PF13515,3267773,Q54NA5_F1_nD2,afdb,325,PF13515,,concordant_exact
604.3.1.46,PF28048,3386308,Q0P8G5_F1_nD2,afdb,90,PF28048,PF28048,concordant_exact
3755.3.1.551,PF28341,3878962,A0A2R8Q2X2_F1_nD1,afdb,310,PF28341,PF28341,concordant_exact
375.1.1.322,PF07282,4934186,A0A2R7Y674_F1_nD1,afdb,,PF07282,PF07282,concordant_exact
532.2.1.14,PF21855,3485609,A0A3Q0KL55_F1_nD1,afdb,150,PF21855,PF21855,concordant_exact
3291.1.1.229,PF04780,3826246,Q9FHN1_F1_nD3,afdb,125,PF04780,PF04780,concordant_exact
192.15.1.134,PF27742,4282122,B2DCR8_nD2,afdb,145,PF27742,PF27742,concordant_exact
186.1.1.24,PF31020,3750409,Q63358_F1_nD4,afdb,105,PF31020,PF31020,concordant_exact
101.1.4.78,PF21716,3164274,P44191_F1_nD1,afdb,85,PF21716,PF21716,concordant_exact
378.1.1.36,PF29604,4100162,P25237_nD2,afdb,90,PF29604,PF29604,concordant_exact
10.32.1.288,PF02412,4268909,A1IGV8_nD2,afdb,195,PF02412,,concordant_exact
5.1.3.209,PF23743,3994733,A0A158Q2T1_F1_nD1,afdb,330,PF23743,PF23743,concordant_exact
632.22.1.193,PF06785,4136491,Q9Z7F1_nD2,afdb,160,PF06785,PF06785,concordant_exact
3755.3.1.369,PF27682,3837415,Q9LSS5_F1_nD3,afdb,165,PF27682,PF27682,concordant_exact
2003.1.5.359,"PF01564,PF13649",3921621,A5WVX1_F1_nD1,afdb,655,"PF01564,PF13649",,concordant_exact
633.21.1.40,PF24858,3539434,Q6ZNB7_F1_nD3,afdb,165,PF24858,,concordant_exact
4325.1.1.12,PF00847,3671924,A0A1D6JRM9_F1_nD3,afdb,39,PF00847,PF00847,concordant_exact
109.4.1.3238,PF15457,4276444,Q48DU8_nD1,afdb,275,PF15457,PF15457,concordant_exact
198.1.1.21,"PF02199,PF03489",3775067,M0R3X1_F1_nD4,afdb,120,"PF02199,PF03489",,concordant_exact
225.1.1.28,PF29744,4271274,P55517_nD6,afdb,160,PF29744,PF29744,concordant_exact
1.1.13.77,PF25138,5082328,UPI003759876D_nD1,uniparc,,PF25138,PF25138,concordant_exact
241.15.1.4,PF06067,3941745,A0A0H3H5U9_F1_nD1,afdb,145,PF06067,PF06067,concordant_exact
243.3.1.73,PF25536,3707891,Q4D277_F1_nD1,afdb,90,PF25536,PF25536,concordant_exact
3361.1.1.6,PF09058,3482861,G4V8A2_F1_nD1,afdb,90,PF09058,PF09058,concordant_exact
375.1.1.346,PF25208,4964575,D4GWP7_F1_nD1,afdb,,PF25208,PF25208,concordant_exact
101.1.2.794,PF25583,3953110,P9WIL9_F1_nD3,afdb,80,PF25583,PF25583,concordant_exact
11.1.5.135,PF12034,4008561,P76481_F1_nD4,afdb,145,PF12034,PF12034,concordant_exact
3920.1.1.6,PF25966,3529090,Q9Y4I1_F1_nD6,afdb,130,PF25966,PF25966,concordant_exact
3291.1.1.116,PF12483,3680914,B4FE85_F1_nD2,afdb,75,PF12483,,concordant_exact
532.2.1.16,PF05305,3954237,I6YB21_F1_nD1,afdb,80,PF05305,PF05305,concordant_exact
103.4.1.21,PF14036,4385050,O07632_nD1,afdb,85,PF14036,PF14036,concordant_exact
4.1.1.477,PF00621,4823227,e7syfA01,pdb,75,PF00621,PF00621,concordant_exact
632.7.1.62,PF04859,3819179,Q9MAG4_F1_nD1,afdb,140,PF04859,PF04859,concordant_exact
3860.1.1.276,PF24161,3706703,Q4D642_F1_nD8,afdb,210,PF24161,PF24161,concordant_exact
2004.1.1.862,PF26587,3457052,A0A0P0VQG3_F1_nD4,afdb,155,PF26587,,concordant_exact
109.4.1.2754,"PF13428,PF14559,PF23240,PF29376",3492535,A0A5K4F1L5_F1_nD4,afdb,455,"PF14559,PF23240,PF29376",,partial_overlap
5015.1.1.9,PF20100,3456476,Q94D46_F1_nD1,afdb,90,PF20100,PF20100,concordant_exact
376.1.1.140,PF25143,3779138,A0A0G2JZL6_F1_nD6,afdb,75,PF25143,,concordant_exact
6055.1.1.28,PF08114,3172983,P40975_F1_nD1,afdb,25,PF08114,PF08114,concordant_exact
4030.1.1.18,PF24904,3669495,B6SQ50_F1_nD2,afdb,50,PF24904,PF24904,concordant_exact
4177.1.1.133,PF05794,3321714,I1KUN4_F1_nD9,afdb,165,PF05794,PF05794,concordant_exact
