ecod_uid,domain_id,t_id,old_f,old_f_name,commons_f,new_f_name,dominant_pfam,dominant_name,cov_pct,score,verdict,tier,recommended_action,composite_outcome,relaxed_Q_verdict,relaxed_Q_detail,final_class,final_action
118927,e1auiB2,108.1.1,108.1.1.29,EF-hand_7,108.1.1.97,"EF-hand_1, EF-hand_7",PF13499,EF-hand_7,83.3,60.3,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00036 score=27.7 GA=25.4 dE=1.9e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9677,e1b0uA1,2004.1.1,2004.1.1.5,ABC_tran,2004.1.1.417,"ABC_tran, AAA_21",PF00005,ABC_tran,62.4,122.5,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13304 score=29.1 GA=27.0 dE=1.6e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
11057,e1cjwA1,213.1.1,213.1.1.1,Acetyltransf_1,213.1.1.72,"Acetyltransf_1, Acetyltransf_10",PF00583,Acetyltransf_1,77.7,49.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13673 score=37.7 GA=23.6 dE=2.9e-09,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
10781,e1dx4A1,7579.1.1,7579.1.1.1,COesterase,7579.1.1.89,"COesterase, BD-FAE",PF00135,COesterase,98.1,439.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF20434 score=31.9 GA=26.8 dE=1.5e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
10780,e1ea5A1,7579.1.1,7579.1.1.1,COesterase,7579.1.1.89,"COesterase, BD-FAE",PF00135,COesterase,97.9,558.5,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF20434 score=39.7 GA=26.8 dE=6.0e-10,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9036,e1ek6A1,2003.1.1,2003.1.1.72,GDP_Man_Dehyd,2003.1.1.152,"KR, GDP_Man_Dehyd",PF16363,GDP_Man_Dehyd,94.8,195.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF08659 score=25.7 GA=22.6 dE=1.5e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
3761,e1ewqA1,601.23.1,601.23.1.1,MutS_III,601.23.1.4,"MutS_IV, MutS_III",PF05192,MutS_III,97.5,163.0,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF05190 score=99.8 GA=22.0 dE=1.3e-28,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
118943,e1exrA2,108.1.1,108.1.1.29,EF-hand_7,108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",PF13499,EF-hand_7,95.6,73.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00036 score=38.4 GA=25.4 dE=7.3e-10,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9996,e1f4pA1,2007.2.1,2007.2.1.1,Flavodoxin_1,2007.2.1.9,"Flavodoxin_1, Flavodoxin_5",PF00258,Flavodoxin_1,91.8,124.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF12724 score=27.9 GA=27.0 dE=4.0e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9294,e1gteA5,2003.1.3,2003.1.3.3,Pyr_redox_2,2003.1.3.15,"Pyr_redox_2, NAD_binding_8",PF07992,Pyr_redox_2,81.1,49.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13450 score=28.3 GA=21.9 dE=2.7e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
