ecod_uid,domain_id,old_f,commons_f,missing_Q,verdict,strongest_Q,Q_class,Q_score,Q_GA,Q_delta_vs_GA,Q_evalue
118927,e1auiB2,108.1.1.29,108.1.1.97,PF00036,Q_above_GA,PF00036,above_GA,27.7,25.4,2.3,1.9e-06
9677,e1b0uA1,2004.1.1.5,2004.1.1.417,PF13304,Q_above_GA,PF13304,above_GA,29.1,27.0,2.1,1.6e-06
11057,e1cjwA1,213.1.1.1,213.1.1.72,PF13673,Q_above_GA,PF13673,above_GA,37.7,23.6,14.1,2.9e-09
10781,e1dx4A1,7579.1.1.1,7579.1.1.89,PF20434,Q_above_GA,PF20434,above_GA,31.9,26.8,5.1,1.5e-07
10780,e1ea5A1,7579.1.1.1,7579.1.1.89,PF20434,Q_above_GA,PF20434,above_GA,39.7,26.8,12.9,6.0e-10
9036,e1ek6A1,2003.1.1.72,2003.1.1.152,PF08659,Q_above_GA,PF08659,above_GA,25.7,22.6,3.1,1.5e-05
3761,e1ewqA1,601.23.1.1,601.23.1.4,PF05190,Q_above_GA,PF05190,above_GA,99.8,22.0,77.8,1.3e-28
118943,e1exrA2,108.1.1.29,108.1.1.96,"PF00036,PF13405",Q_above_GA,PF00036,above_GA,38.4,25.4,13.0,7.3e-10
9996,e1f4pA1,2007.2.1.1,2007.2.1.9,PF12724,Q_above_GA,PF12724,above_GA,27.9,27.0,0.9,4.0e-06
9835,e1gpmA2,2005.1.1.18,2005.1.1.47,PF03054,Q_above_GA,PF03054,above_GA,22.9,20.6,2.3,9.0e-05
9294,e1gteA5,2003.1.3.3,2003.1.3.15,PF13450,Q_above_GA,PF13450,above_GA,28.3,21.9,6.4,2.7e-06
9015,e1hk8A1,2500.1.1.5,2500.1.1.7,PF01228,Q_above_GA,PF01228,above_GA,84.0,22.2,61.8,1.5e-23
10878,e1hnjA1,7581.1.1.13,7581.1.1.23,PF00108,Q_sub_GA,PF00108,sub_GA,25.0,26.4,-1.4,1.8e-05
118952,e1hqvA2,108.1.1.29,108.1.1.99,"PF13202,PF13405",Q_above_GA,PF13202,above_GA,21.6,11.5,10.1,1.7e-04
9356,e1i1nA1,2003.1.5.4,2003.1.5.153,PF13649,Q_above_GA,PF13649,above_GA,29.7,27.0,2.7,1.3e-06
1693513,e1ihmA2,1.2.1.2,1.2.1.4,PF00915,Q_absent,PF00915,absent,,20.0,,
118964,e1jbaA2,108.1.1.29,108.1.1.97,PF00036,Q_above_GA,PF00036,above_GA,28.2,25.4,2.8,1.4e-06
118965,e1jfjA1,108.1.1.29,108.1.1.99,"PF13202,PF13405",Q_above_GA,PF13202,above_GA,27.1,11.5,15.6,3.2e-06
9355,e1jg1A1,2003.1.5.4,2003.1.5.153,PF13649,Q_above_GA,PF13649,above_GA,33.5,27.0,6.5,8.3e-08
5482,e1jnrB1,205.1.1.13,205.1.1.47,PF00037,Q_above_GA,PF00037,above_GA,26.6,21.1,5.5,6.0e-06
7073,e1kobA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,34.0,22.9,11.1,2.7e-08
1107957,e1kqfB3,205.1.1.17,205.1.1.48,PF12837,Q_above_GA,PF12837,above_GA,24.3,24.0,0.3,3.3e-05
9777,e1lv7A2,2004.1.1.1,2004.1.1.420,PF06068,Q_above_GA,PF06068,above_GA,26.5,23.8,2.7,5.6e-06
1088763,e1mppA1,1.1.1.1,1.1.1.27,PF14543,Q_above_GA,PF14543,above_GA,32.9,30.0,2.9,1.1e-07
9602,e1n0uA5,2004.1.1.14,2004.1.1.414,PF01926,Q_sub_GA,PF01926,sub_GA,19.8,21.9,-2.1,1.1e-03
7079,e1o6yA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,32.6,22.9,9.7,7.4e-08
1088767,e1oewA2,1.1.1.1,1.1.1.27,PF14543,Q_above_GA,PF14543,above_GA,31.6,30.0,1.6,2.8e-07
119003,e1omrA2,108.1.1.29,108.1.1.97,PF00036,Q_above_GA,PF00036,above_GA,27.7,25.4,2.3,1.9e-06
3161,e1oqpA1,108.1.1.29,108.1.1.96,"PF00036,PF13405",Q_above_GA,PF00036,above_GA,28.3,25.4,2.9,1.3e-06
4922,e1orqC1,5054.1.1.2,5054.1.1.59,PF07885,Q_above_GA,PF07885,above_GA,66.4,22.5,43.9,2.6e-18
9044,e1orrA1,2003.1.1.72,2003.1.1.141,PF02719,Q_above_GA,PF02719,above_GA,36.0,20.2,15.8,7.0e-09
4606,e1oyzA1,109.4.1.207,109.4.1.1283,"PF02985,PF03130",Q_above_GA,PF02985,above_GA,18.2,17.6,0.6,3.4e-03
3152,e1ozsA1,108.1.1.29,108.1.1.96,"PF00036,PF13405",Q_above_GA,PF00036,above_GA,33.6,25.4,8.2,2.5e-08
7191,e1p9aG1,207.1.1.11,207.1.1.165,"PF00560,PF12799",Q_above_GA,PF00560,above_GA,11.3,9.3,2.0,5.3e-01
4234,e1ppjC2,5069.1.1.1,5069.1.1.54,PF13631,Q_above_GA,PF13631,above_GA,157.1,27.0,130.1,6.4e-46
7437,e1prtA1,237.1.1.7,237.1.1.33,PF22596,Q_above_GA,PF22596,above_GA,29.4,27.0,2.4,1.0e-06
2827,e1q08A1,101.1.9.14,101.1.9.82,PF13411,Q_above_GA,PF13411,above_GA,24.0,21.6,2.4,5.1e-05
1514546,e1qamA3,2003.1.5.2,2003.1.5.182,PF08241,Q_above_GA,PF08241,above_GA,23.1,21.2,1.9,1.4e-04
9690,e1qhlA1,2004.1.1.113,2004.1.1.1172,PF13555,Q_above_GA,PF13555,above_GA,34.3,27.0,7.3,2.5e-08
10163,e1r3nA2,2011.1.1.6,2011.1.1.20,PF04389,Q_above_GA,PF04389,above_GA,23.7,21.3,2.4,5.5e-05
119021,e1r7rA6,2004.1.1.1,2004.1.1.415,PF05496,Q_sub_GA,PF05496,sub_GA,24.6,27.0,-2.4,2.9e-05
9227,e1ryiA2,2003.1.2.12,2003.1.2.60,PF13450,Q_above_GA,PF13450,above_GA,27.3,21.9,5.4,5.3e-06
