ecod_uid,f_id,ecod_domain_id,ecod_source_id,seqid_range,dtype
3405329,605.4.1.21,Q9VLK1_F1_nD1,Q9VLK1_F1,11-100,computed structural model
4220054,3939.1.1.343,Q62835_nD2,Q62835_F1,"71-165,276-375",computed structural model
3808581,101.1.4.86,Q9SVF1_F1_nD3,Q9SVF1_F1,496-560,computed structural model
4538874,223.1.1.172,Q6UBQ3_nD1,Q6UBQ3_F1,"11-130,196-330",computed structural model
3779742,6170.1.1.16,P02564_F1_nD4,P02564_F1,"846-960,1396-1435,1471-1515,1541-1675",computed structural model
5066877,3633.1.1.4,UPI0031668FAC_nD1,UPI0031668FAC,16-200,computed structural model
5052520,601.1.1.156,A0A532TDM3_F1_nD1,A0A532TDM3_F1,6-183,computed structural model
3277430,912.1.1.12,Q54KU0_F1_nD6,Q54KU0_F1,1286-1450,computed structural model
3166253,632.3.1.21,P44177_F1_nD2,P44177_F1,36-65,computed structural model
3688361,604.12.1.88,A0A1C1CJS6_F1_nD1,A0A1C1CJS6_F1,261-415,computed structural model
4575755,601.1.2.134,P82295_nD2,P82295_F1,"111-125,156-240,486-565,846-880",computed structural model
3489608,586.1.1.33,G4V9I3_F1_nD1,G4V9I3_F1,21-95,computed structural model
3681535,902.1.1.2,A0A1D6HUE0_F1_nD1,A0A1D6HUE0_F1,96-134,computed structural model
4183547,375.6.1.4,Q3TWL2_nD2,Q3TWL2_F1,181-210,computed structural model
3711361,109.4.1.3249,Q4D548_F1_nD1,Q4D548_F1,"11-495,526-550",computed structural model
3556555,148.1.3.362,Q5VU69_F1_nD2,Q5VU69_F1,46-95,computed structural model
3946906,101.1.2.683,A0A0H3GQB5_F1_nD1,A0A0H3GQB5_F1,6-55,computed structural model
4010151,3410.1.1.2,P76484_F1_nD3,P76484_F1,81-230,computed structural model
3410892,101.1.1.505,Q7JWH6_F1_nD2,Q7JWH6_F1,236-325,computed structural model
3571998,1177.1.1.2,Q9BYD5_F1_nD1,Q9BYD5_F1,46-110,computed structural model
3891217,3939.1.1.328,Q1LUM4_F1_nD2,Q1LUM4_F1,"96-270,301-380",computed structural model
3461257,109.4.1.3329,Q5QNE5_F1_nD1,Q5QNE5_F1,"6-30,171-565",computed structural model
3228705,604.5.1.56,D0Z5N5_F1_nD1,D0Z5N5_F1,41-245,computed structural model
3200476,3860.1.1.228,C0NA85_F1_nD2,C0NA85_F1,"336-380,416-500",computed structural model
4090143,298.1.1.38,Q54709_nD3,Q54709_F1,"241-405,426-440",computed structural model
3558017,5015.1.1.7,P0DN84_F1_nD1,P0DN84_F1,11-35,computed structural model
4958905,241.5.1.2,D1YY59_F1_nD2,D1YY59_F1,"166-200,216-299",computed structural model
