ecod_uid,domain_id,commons_f,prior,best_Q,score,GA,delta,relaxed_verdict
2491451,e5xe3E1,101.1.11.122,no_arch,PF30224,132.7,27.0,105.7,supports_commons (>=GA)
3834077,Q9LYH2_F1_nD2,101.1.1.267,no_arch,PF26138,27.3,31.1,-3.8,borderline (sub-GA)
1031323,e1h89C3,101.1.1.276,no_arch,PF00249,73.0,24.4,48.6,supports_commons (>=GA)
2671940,e6ursA1,101.1.1.285,no_arch,PF25787,93.7,43.0,50.7,supports_commons (>=GA)
4886556,A4WFK6_nD3,101.1.2.494,no_arch,PF25873,91.7,27.0,64.7,supports_commons (>=GA)
1772495,e3g7dA1,10.12.1.118,no_arch,PF30252,233.4,27.0,206.4,supports_commons (>=GA)
4886088,B3CR62_nD2,102.1.1.153,no_arch,PF21680,41.9,24.7,17.2,supports_commons (>=GA)
164353,e2owoA2,102.1.1.96,no_arch,PF14520,28.6,17.0,11.6,supports_commons (>=GA)
2770751,e7ji1A1,10.30.1.9,no_arch,PF25302,154.6,27.0,127.6,supports_commons (>=GA)
224055,e4hg6B3,10.32.1.215,no_arch,PF29167,26.9,27.7,-0.8,borderline (sub-GA)
3022693,e7x5dB1,105.1.1.102,no_arch,PF00038,75.0,40.0,35.0,supports_commons (>=GA)
3775676,D3ZDV2_F1_nD3,1065.1.1.7,ambiguous_both,PF22975,147.1,27.0,120.1,supports_commons (>=GA)
3190,e1snlA1,108.1.1.121,no_arch,PF30624,40.9,41.0,-0.1,borderline (sub-GA)
2526918,e6reyc1,109.17.1.6,no_arch,PF23096,278.4,20.0,258.4,supports_commons (>=GA)
2560572,e6hq6B1,109.2.1.75,no_arch,PF31219,76.2,27.0,49.2,supports_commons (>=GA)
161019,e2bkgA1,109.3.1.163,no_arch,PF12796,91.3,27.3,64.0,supports_commons (>=GA)
1482703,e4rlvA1,109.3.1.164,no_arch,PF12796,68.8,27.3,41.5,supports_commons (>=GA)
4516,e1n11A1,109.3.1.165,no_arch,PF12796,73.6,27.3,46.3,supports_commons (>=GA)
2976519,e6d7lA1,109.3.1.200,no_arch,PF13637,25.1,22.7,2.4,supports_commons (>=GA)
3287063,K0ETT7_F1_nD6,109.3.1.376,ambiguous_both,PF20169,170.5,27.0,143.5,supports_commons (>=GA)
3715224,Q4D9X0_F1_nD3,109.3.1.411,ambiguous_both,PF11040,401.4,27.3,374.1,supports_commons (>=GA)
