f_group_id,f_group_name,fgroup_introduced_release,rep_ecod_uid,rep_domain_id,rep_range,rep_domain_version,is_representative,is_manual_representative,is_provisional_representative,classification_status,classification_method
1008.1.1.86,TLE_N,v293.1,3767187,E9PTW9_F1_nD1,16-120,v292,t,f,t,classified,
1009.1.1.1,PF31211,v293.1,1688245,e4zmkA1,A:1-71,v292,t,t,f,classified,
1010.1.1.1,PF31212,v293.1,1688243,e4z8qB1,B:1-98,v292,t,t,f,classified,
10.1.1.100,"YJL171C_Tos1_C, YJL171C_Tos1_N",v293.1,4417696,P46992_nD1,26-355,v293,t,f,t,classified,
101.1.10.57,AAA_34,v293.1,3463534,A0A0P0XDZ9_F1_nD3,231-330,v292,t,f,t,classified,
101.11.1.11,SPARK,v293.1,3824130,Q8RWE3_F1_nD1,96-300,v292,t,f,t,classified,
101.1.11.122,PF30224,v293.1,2491451,e5xe3E1,E:1-81,v292,t,f,t,classified,
101.1.1.267,PF26138,v293.1,3834077,Q9LYH2_F1_nD2,"161-260,426-450",v292,t,f,t,classified,
101.1.1.276,"Myb_DNA-binding, Myb_DNA-bind_6",v293.1,1031323,e1h89C3,C:43-108,v292,t,f,t,classified,
101.1.1.276,"Myb_DNA-binding, Myb_DNA-bind_6",v293.1,3474653,A0A3Q0KLK0_F1_nD1,1-165,v292,t,f,t,classified,
101.1.1.285,HTH_SB,v293.1,2671940,e6ursA1,A:1-57,v292,t,f,t,classified,
101.1.1.288,"Myb_DNA-binding, HTH_CHD1_Hrp3",v293.1,1826881,e2xb0X2,X:126-265,v292,t,t,f,classified,
101.1.1.301,"zf-H2C2, zf-H3C2",v293.1,119500,e3nnqA1,A:12-106,v292,t,t,f,classified,
101.1.1.319,"Myb_DNA-binding, Myb_DNA-binding_2",v293.1,3411217,Q9VWL4_F1_nD4,301-465,v292,t,f,t,classified,
101.1.1.340,PF28509,v293.1,3830929,Q1PF74_F1_nD1,"71-180,271-305",v292,t,f,t,classified,
101.1.1.364,HTH_49,v293.1,1288513,e4jp0A3,A:348-381,v292,t,t,f,classified,
101.1.1.368,HTH_58,v293.1,3953033,L7N691_F1_nD1,6-45,v292,t,f,t,classified,
101.1.1.485,HTH_22,v293.1,3388396,Q0P8M2_F1_nD2,151-218,v292,t,f,t,classified,
101.1.1.539,DUF434,v294,4169888,Q58345_nD1,6-205,v293,t,f,t,classified,
101.1.2.493,PF26557,v293.1,2750,e1ldjA2,A:588-670,v292,t,t,f,classified,
101.1.2.493,PF26557,v293.1,2751,e2hyeC2,C:592-675,v292,t,t,f,classified,
101.1.2.494,PF25873,v293.1,4886556,A4WFK6_nD3,251-340,v293,t,,t,classified,
101.1.2.498,PF25870,v293.1,3332625,I1LR30_F1_nD4,251-345,v292,t,f,t,classified,
101.1.2.500,PF30898,v293.1,2323924,e5oqdC2,C:89-208,v292,t,t,f,classified,
101.1.2.500,PF30898,v293.1,2324026,e5xfoA4,A:224-316,v292,t,t,f,classified,
101.1.2.500,PF30898,v293.1,2322685,e5xfrA5,A:220-316,v292,t,f,t,classified,
101.1.2.530,HVO_A0114,v293.1,1734343,e2wteA2,A:149-218,v292,t,t,f,classified,
101.1.2.543,AprA_N,v293.1,2324055,e6b39A1,A:24-109,v292,t,t,f,classified,
101.1.2.601,"TBPIP, LZ3wCH",v293.1,3488598,A0A5K4EGG7_F1_nD1,6-200,v292,t,f,t,classified,
101.1.2.627,Ovate,v293.1,3640877,K7V736_F1_nD1,181-235,v292,t,f,t,classified,
101.1.2.630,Methyltransf_29,v293.1,3658629,A0A1D6EZM8_F1_nD2,141-275,v292,t,f,t,classified,
101.1.2.676,"Mnd1, LZ3wCH",v293.1,3621333,A0A044R7Z1_F1_nD1,1-195,v292,t,f,t,classified,
101.1.2.722,"DUF6581, PF28722",v293.1,3639498,C1H778_F1_nD6,"1106-1210,1521-1530,1551-1655,1731-1815,1906-2015",v292,t,f,t,classified,
101.1.2.836,Terminase_5,v293.1,3977377,Q8ZMT0_F1_nD1,11-115,v292,t,f,t,classified,
101.1.2.913,WH_Lhr,v294,3289336,K0EQG7_F1_nD4,"436-530,751-810",v292,t,f,t,classified,
101.1.3.20,HTH_Tnp_4,v293.1,3883738,A4QN70_F1_nD2,176-265,v292,t,f,t,classified,
10.1.1.74,PF30275,v293.1,1070,e1dypA1,A:1-271,v292,t,t,f,classified,
10.1.1.74,PF30275,v293.1,1072,e1o4yA1,A:4-273,v292,t,t,f,classified,
101.1.9.141,"DUF536, HTH_24",v293.1,3989255,Q8DQ15_F1_nD1,1-160,v292,t,f,t,classified,
101.1.9.82,"MerR-DNA-bind, MerR_1",v293.1,2825,e1r8dA1,A:1-109,v292,t,t,f,classified,
101.1.9.82,"MerR-DNA-bind, MerR_1",v293.1,2826,e1q06A1,A:1-127,v292,t,t,f,classified,
101.1.9.82,"MerR-DNA-bind, MerR_1",v293.1,2827,e1q08A1,A:1-94,v292,t,t,f,classified,
101.1.9.82,"MerR-DNA-bind, MerR_1",v293.1,1884603,e5crlA1,A:6-133,v292,t,f,t,classified,
10.12.1.101,"JmjC, Cupin_8",v293.1,1411386,e3kv4A2,A:78-337,v292,t,t,f,classified,
10.12.1.101,"JmjC, Cupin_8",v293.1,1546393,e3k2oB1,B:2-336,v292,t,t,f,classified,
10.12.1.118,PF30252,v293.1,1772495,e3g7dA1,A:1-228,v292,t,f,t,classified,
10.12.1.162,"WAK, GUB_WAK_bind",v293.1,3803103,Q7X8C5_F1_nD1,36-245,v292,t,f,t,classified,
102.1.1.111,PF31229,v293.1,2324073,e6bzfB2,B:138-206,v292,t,t,f,classified,
102.1.1.153,GIDA_C_1st,v293.1,4886088,B3CR62_nD2,461-555,v293,t,,t,classified,
102.1.1.96,"HHH, DNA_ligase_ZBD, HHH_2, HHH_5",v293.1,164353,e2owoA2,A:403-586,v292,t,f,t,classified,
102.1.1.96,"HHH, DNA_ligase_ZBD, HHH_2, HHH_5",v293.1,3983981,Q32DE2_F1_nD3,406-585,v292,t,f,t,classified,
10.2.1.87,P3_C,v293.1,1184,e1hx6A2,A:244-383,v292,t,t,f,classified,
10.2.1.89,PF28589,v293.1,1070876,e4kq7A1,A:2-164,v292,t,t,f,classified,
10.30.1.9,NADase_transloc,v293.1,2770751,e7ji1A1,A:41-159,v292,t,f,t,classified,
103.1.1.84,PF28540,v293.1,3085,e1wj7A1,A:8-98,v292,t,t,f,classified,
10.32.1.215,PF29167,v293.1,224055,e4hg6B3,B:290-437,v292,t,t,f,classified,
10.32.1.259,WAK,v293.1,3822510,Q9LN59_F1_nD1,"61-160,206-275",v292,t,f,t,classified,
10.32.1.283,TGFb_propeptide,v293.1,3914225,A0A0G2KD75_F1_nD1,11-145,v292,t,f,t,classified,
1033.1.1.3,"TcdA_TcdB_pore, PF30720",v293.1,1723255,e4r04A5,A:1029-1802,v292,t,t,f,classified,
1041.1.1.1,PF29799,v293.1,1736241,e5cowA1,A:14-247,v292,t,t,f,classified,
1041.1.1.1,PF29799,v293.1,1737441,e5cv1A1,A:11-243,v292,t,f,t,classified,
1047.1.1.1,PF31235,v293.1,1779594,e5hx2A2,"A:105-171,A:538-627",v292,t,t,f,classified,
105.1.1.102,Filament,v293.1,3022693,e7x5dB1,B:32-101,v292,t,f,t,classified,
105.2.1.7,Golgin_A5,v293,3803845,B0F9L7_F1_nD3,366-560,v292,t,,t,classified,
1058.1.1.1,PF31254,v293.1,1821879,e2gv9B7,B:17-95,v292,t,t,f,classified,
1065.1.1.7,EPS8_2nd,v293.1,3775676,D3ZDV2_F1_nD3,"251-280,311-450",v292,t,f,t,classified,
1075.1.1.65,DUF2705,v293.1,2673983,e6xjhA1,A:16-266,v292,t,f,t,classified,
1075.5.1.12,"MurJ, Polysacc_synt_3",v293.1,2072472,e5t77A1,A:204-470,v292,t,t,f,classified,
1079.1.1.13,Mntp,v293.1,4010426,P76264_F1_nD1,1-185,v292,t,f,t,classified,
1079.1.1.14,MarC,v293.1,4609029,P67143_nD1,6-195,v293,t,f,t,classified,
108.1.1.102,"S_100, EF-hand_7",v293.1,3139,e1k8uA1,A:2-90,v292,t,t,f,classified,
108.1.1.102,"S_100, EF-hand_7",v293.1,2084854,e5w1fD1,D:5-112,v292,t,t,f,classified,
108.1.1.103,"EF-hand_6, EF-hand_7, EF-hand_8",v293.1,119099,e1xo5A1,A:95-183,v292,t,t,f,classified,
108.1.1.103,"EF-hand_6, EF-hand_7, EF-hand_8",v293.1,1851163,e2n8yA1,A:1-80,v292,t,t,f,classified,
108.1.1.121,PF30624,v293.1,3190,e1snlA1,A:5-103,v292,t,t,f,classified,
108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",v293.1,4886676,Q3SEK2_nD1,26-110,v293,t,,t,classified,
108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",v293.1,3152,e1ozsA1,A:1-73,v292,t,t,f,classified,
108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",v293.1,3161,e1oqpA1,A:1-77,v292,t,t,f,classified,
108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",v293.1,3163,e2obhA2,A:77-143,v292,t,t,f,classified,
108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",v293.1,118943,e1exrA2,A:80-147,v292,t,t,f,classified,
108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",v293.1,119035,e1s6iA2,A:80-182,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,3138,e1qx2A1,A:1-76,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,3155,e1c7vA1,A:7-74,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,3174,e1tizA1,A:1-67,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,118927,e1auiB2,B:86-169,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,118942,e1exrA1,A:2-79,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,118964,e1jbaA2,A:93-190,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,119003,e1omrA2,A:96-201,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,119019,e1qv0A1,A:108-195,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,119034,e1s6iA1,A:1-79,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,1145809,e2lhiA1,A:1-78,v292,t,t,f,classified,
108.1.1.97,"EF-hand_1, EF-hand_7",v293.1,2084847,e5ve9B1,B:9-91,v292,t,t,f,classified,
108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",v293.1,118926,e1auiB1,B:5-85,v292,t,t,f,classified,
108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",v293.1,118966,e1jfjA2,A:67-134,v292,t,t,f,classified,
108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",v293.1,118995,e1nyaA2,A:92-176,v292,t,t,f,classified,
108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",v293.1,119032,e1s6cA1,A:89-183,v292,t,t,f,classified,
108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",v293.1,119101,e1y1xA1,A:10-93,v292,t,t,f,classified,
108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",v293.1,1198109,e2q4uA7,A:3-133,v292,t,f,t,classified,
108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",v293.1,1762058,e4tzrA3,A:323-413,v292,t,f,t,classified,
108.1.1.99,"EF-hand_5, EF-hand_6, EF-hand_7",v293.1,3146,e2opoA1,A:6-86,v292,t,t,f,classified,
108.1.1.99,"EF-hand_5, EF-hand_6, EF-hand_7",v293.1,3148,e2pvbA1,A:1-108,v292,t,t,f,classified,
108.1.1.99,"EF-hand_5, EF-hand_6, EF-hand_7",v293.1,48960,e2opoB1,B:6-86,v292,t,t,f,classified,
108.1.1.99,"EF-hand_5, EF-hand_6, EF-hand_7",v293.1,118952,e1hqvA2,A:94-188,v292,t,t,f,classified,
108.1.1.99,"EF-hand_5, EF-hand_6, EF-hand_7",v293.1,118965,e1jfjA1,A:1-66,v292,t,t,f,classified,
1088.1.1.1,PF31249,v293.1,1841022,e4uxeB3,B:364-410,v292,t,t,f,classified,
109.1.1.46,"Tom37, Tom37_C",v293.1,4218592,P50110_nD2,101-305,v293,t,f,t,classified,
109.17.1.6,"PSME4_C, HEAT_PSME4_mid, HEAT_PSME4",v293.1,2526918,e6reyc1,"c:26-1545,c:1568-1843",v292,t,f,t,classified,
109.17.1.6,"PSME4_C, HEAT_PSME4_mid, HEAT_PSME4",v293.1,2604927,e6kwyc1,c:59-1878,v292,t,f,t,classified,
