f_id	domain	pseudo_fgroup	assigned_count	status	request_id	domains_reassigned	error
3749.1.1.5	I1N780_F1_nD4	3749.1.1.0	17	SUCCESS	3590	17	
109.26.1.7	P52742_F1_nD11	109.26.1.0	13	SUCCESS	3591	13	
375.1.1.178	I1LTY4_F1_nD1	375.1.1.0	13	SUCCESS	3592	13	
3297.1.1.11	A0A0R0IX28_F1_nD2	3297.1.1.0	12	SUCCESS	3593	12	
304.9.1.72	Q9C0F3_F1_nD6	304.9.1.0	10	SUCCESS	3594	10	
604.1.1.91	O60765_F1_nD5	604.1.1.0	10	SUCCESS	3595	10	
3922.1.1.127	Q10P54_F1_nD1	3922.1.1.0	9	SUCCESS	3596	9	
192.8.1.216	I1JPY3_F1_nD1	192.8.1.0	8	SUCCESS	3597	8	
3297.1.1.12	P18289_F1_nD1	3297.1.1.0	8	SUCCESS	3598	8	
3755.3.1.294	F8WFD2_F1_nD2	3755.3.1.0	7	SUCCESS	3599	7	
101.1.11.85	K7KER1_F1_nD3	101.1.11.0	6	SUCCESS	3600	6	
3755.3.1.286	Q9BX97_F1_nD6	3755.3.1.0	6	SUCCESS	3601	6	
3755.3.1.287	Q9ULJ1_F1_nD3	3755.3.1.0	6	SUCCESS	3602	6	
3755.3.1.292	K7KSE7_F1_nD1	3755.3.1.0	6	SUCCESS	3603	6	
601.20.1.4	Q04746_F1_nD4	601.20.1.0	6	SUCCESS	3604	6	
192.8.1.220	G4VFB0_F1_nD2	192.8.1.0	5	SUCCESS	3605	5	
3297.1.1.13	P04264_F1_nD2	3297.1.1.0	5	SUCCESS	3606	5	
3922.1.1.128	I1JDH8_F1_nD5	3922.1.1.0	5	SUCCESS	3607	5	
5.1.4.225	Q9P283_F1_nD7	5.1.4.0	5	SUCCESS	3608	5	
192.8.1.221	I1MVH5_F1_nD1	192.8.1.0	4	SUCCESS	3609	4	
192.8.1.237	A0A368UM14_F1_nD2	192.8.1.0	4	SUCCESS	3610	4	
3755.3.1.301	Q5EBL4_F1_nD3	3755.3.1.0	4	SUCCESS	3611	4	
3755.3.1.307	Q9VBL8_F1_nD1	3755.3.1.0	4	SUCCESS	3612	4	
3755.3.1.319	A0A0N7KHX3_F1_nD7	3755.3.1.0	4	SUCCESS	3613	4	
3755.3.1.438	A0A077ZHN8_F1_nD6	3755.3.1.0	4	SUCCESS	3614	4	
3922.1.1.131	O94964_F1_nD5	3922.1.1.0	4	SUCCESS	3615	4	
3922.1.1.142	A0A0R0JHB3_F1_nD4	3922.1.1.0	4	SUCCESS	3616	4	
5086.1.1.95	C6TKY8_F1_nD1	5086.1.1.0	4	SUCCESS	3617	4	
5086.1.1.97	Q6ZW33_F1_nD1	5086.1.1.0	4	SUCCESS	3618	4	
5086.1.1.98	Q9ULS5_F1_nD2	5086.1.1.0	4	SUCCESS	3619	4	
101.1.11.86	I1L947_F1_nD1	101.1.11.0	3	SUCCESS	3620	3	
103.1.1.64	Q9P2K3_F1_nD3	103.1.1.0	3	SUCCESS	3621	3	
103.1.1.65	Q9H0D2_F1_nD2	103.1.1.0	3	SUCCESS	3622	3	
192.29.1.121	Q9NPJ6_F1_nD3	192.29.1.0	3	SUCCESS	3623	3	
192.29.1.122	Q96C34_F1_nD3	192.29.1.0	3	SUCCESS	3624	3	
207.1.1.117	A0A0J9YWL9_F1_nD3	207.1.1.0	3	SUCCESS	3625	3	
2492.1.1.38	Q95QZ9_F1_nD2	2492.1.1.0	3	SUCCESS	3626	3	
304.8.1.56	B9FXT3_F1_nD1	304.8.1.0	3	SUCCESS	3627	3	
3273.1.1.3	B6VQ93_F1_nD6	3273.1.1.0	3	SUCCESS	3628	3	
3297.1.1.15	Q4VCS5_F1_nD3	3297.1.1.0	3	SUCCESS	3629	3	
3464.1.1.3	C6SZR5_F1_nD1	3464.1.1.0	3	SUCCESS	3630	3	
3530.1.1.6	I1KFG1_F1_nD1	3530.1.1.0	3	SUCCESS	3631	3	
3755.3.1.313	A6NE01_F1_nD3	3755.3.1.0	3	SUCCESS	3632	3	
3755.3.1.314	O95229_F1_nD3	3755.3.1.0	3	SUCCESS	3633	3	
3755.3.1.318	Q96AQ8_F1_nD2	3755.3.1.0	3	SUCCESS	3634	3	
3755.3.1.330	I1MFR1_F1_nD2	3755.3.1.0	3	SUCCESS	3635	3	
3755.4.1.29	I1K802_F1_nD2	3755.4.1.0	3	SUCCESS	3636	3	
3922.1.1.134	Q69Q88_F1_nD1	3922.1.1.0	3	SUCCESS	3637	3	
3922.1.1.135	K7KJ54_F1_nD1	3922.1.1.0	3	SUCCESS	3638	3	
3922.1.1.136	C0NQ31_F1_nD10	3922.1.1.0	3	SUCCESS	3639	3	
3922.1.1.144	K7M5L2_F1_nD1	3922.1.1.0	3	SUCCESS	3640	3	
3922.1.1.149	V6CLK4_F1_nD2	3922.1.1.0	3	SUCCESS	3641	3	
397.7.1.2	Q2R223_F1_nD5	397.7.1.0	3	SUCCESS	3642	3	
5086.1.1.103	O75781_F1_nD1	5086.1.1.0	3	SUCCESS	3643	3	
5086.1.1.104	Q8N3L3_F1_nD2	5086.1.1.0	3	SUCCESS	3644	3	
589.1.1.3	O15078_F1_nD19	589.1.1.0	3	SUCCESS	3645	3	
