ecod_uid	domain_id	old_f	commons_f	arch	missing_Q
118927	e1auiB2	108.1.1.29	108.1.1.97	PF13499	PF00036
9677	e1b0uA1	2004.1.1.5	2004.1.1.417	PF00005	PF13304
11057	e1cjwA1	213.1.1.1	213.1.1.72	PF00583	PF13673
10781	e1dx4A1	7579.1.1.1	7579.1.1.89	PF00135	PF20434
10780	e1ea5A1	7579.1.1.1	7579.1.1.89	PF00135	PF20434
9036	e1ek6A1	2003.1.1.72	2003.1.1.152	PF16363	PF08659
3761	e1ewqA1	601.23.1.1	601.23.1.4	PF05192	PF05190
118943	e1exrA2	108.1.1.29	108.1.1.96	PF13499	PF00036,PF13405
9996	e1f4pA1	2007.2.1.1	2007.2.1.9	PF00258	PF12724
9835	e1gpmA2	2005.1.1.18	2005.1.1.47	PF02540	PF03054
9294	e1gteA5	2003.1.3.3	2003.1.3.15	PF07992	PF13450
9015	e1hk8A1	2500.1.1.5	2500.1.1.7	PF13597	PF01228
10878	e1hnjA1	7581.1.1.13	7581.1.1.23	PF08545	PF00108
118952	e1hqvA2	108.1.1.29	108.1.1.99	PF13499	PF13202,PF13405
9356	e1i1nA1	2003.1.5.4	2003.1.5.153	PF01135	PF13649
1693513	e1ihmA2	1.2.1.2	1.2.1.4	PF08435	PF00915
118964	e1jbaA2	108.1.1.29	108.1.1.97	PF13499	PF00036
118965	e1jfjA1	108.1.1.29	108.1.1.99	PF13499	PF13202,PF13405
9355	e1jg1A1	2003.1.5.4	2003.1.5.153	PF01135	PF13649
5482	e1jnrB1	205.1.1.13	205.1.1.47	PF12139,PF12838	PF00037
7073	e1kobA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1107957	e1kqfB3	205.1.1.17	205.1.1.48	PF13247	PF12837
9777	e1lv7A2	2004.1.1.1	2004.1.1.420	PF00004	PF06068
1088763	e1mppA1	1.1.1.1	1.1.1.27	PF00026	PF14543
9602	e1n0uA5	2004.1.1.14	2004.1.1.414	PF00009	PF01926
7079	e1o6yA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1088767	e1oewA2	1.1.1.1	1.1.1.27	PF00026	PF14543
119003	e1omrA2	108.1.1.29	108.1.1.97	PF13499	PF00036
3161	e1oqpA1	108.1.1.29	108.1.1.96	PF13499	PF00036,PF13405
4922	e1orqC1	5054.1.1.2	5054.1.1.59	PF00520	PF07885
9044	e1orrA1	2003.1.1.72	2003.1.1.141	PF16363	PF02719
4606	e1oyzA1	109.4.1.207	109.4.1.1283	PF13646	PF02985,PF03130
3152	e1ozsA1	108.1.1.29	108.1.1.96	PF13499	PF00036,PF13405
7191	e1p9aG1	207.1.1.11	207.1.1.165	PF01462,PF13855	PF00560,PF12799
4234	e1ppjC2	5069.1.1.1	5069.1.1.54	PF00033	PF13631
7437	e1prtA1	237.1.1.7	237.1.1.33	PF02917	PF22596
2827	e1q08A1	101.1.9.14	101.1.9.82	PF09278	PF13411
1514546	e1qamA3	2003.1.5.2	2003.1.5.182	PF00398	PF08241
9690	e1qhlA1	2004.1.1.113	2004.1.1.1172	PF04310	PF13555
10163	e1r3nA2	2011.1.1.6	2011.1.1.20	PF01546	PF04389
119021	e1r7rA6	2004.1.1.1	2004.1.1.415	PF00004	PF05496
9227	e1ryiA2	2003.1.2.12	2003.1.2.60	PF01266	PF13450
119032	e1s6cA1	108.1.1.29	108.1.1.98	PF13499	PF00036,PF13202
7096	e1s9jA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1088769	e1smrA2	1.1.1.1	1.1.1.27	PF00026	PF14543
1141779	e1tedA2	7581.1.1.4	7581.1.1.24	PF00195	PF08545
11071	e1u6mA1	213.1.1.1	213.1.1.72	PF00583	PF13673
9698	e1uaaA2	2004.1.1.195	2004.1.1.508	PF13361	PF13538
10839	e1ukcA1	7579.1.1.1	7579.1.1.89	PF00135	PF20434
586	e1vqoT1	4.1.1.95	4.1.1.295	PF16906	PF00467
2200	e1w0pA3	5.1.3.26	5.1.3.134	PF13088	PF02012
9688	e1w1wA1	2004.1.1.87	2004.1.1.481	PF02463	PF13555
2198	e1w8oA3	5.1.3.26	5.1.3.134	PF13088	PF02012
3762	e1wb9A1	601.23.1.1	601.23.1.4	PF05192	PF05190
10875	e1wdkC2	7581.1.1.1	7581.1.1.22	PF00108	PF00109
9605	e1wf3A2	2004.1.1.73	2004.1.1.474	PF01926	PF00350
9623	e1wxqA2	2004.1.1.74	2004.1.1.597	PF01926,PF08438	PF02421
2075048	e1x42A3	2006.1.1.1	2006.1.1.44	PF00702	PF13242
119099	e1xo5A1	108.1.1.29	108.1.1.103	PF13499	PF13405,PF13833
7095	e1xwsA1	206.1.1.1	206.1.1.71	PF00069	PF06293
7078	e1yhwA1	206.1.1.1	206.1.1.72	PF00069	PF17667
9109	e1yo6A1	2003.1.1.3	2003.1.1.148	PF00106	PF08659
9877	e1zd3A1	2006.1.1.1	2006.1.1.46	PF00702	PF13419
