ecod_uid,domain_id,t_id,old_f,commons_f,dominant_pfam,dominant_name,dominant_cov_pct,dominant_score,verdict
1842535,e2iw3A2,109.4.1,109.4.1.955,109.4.1.1442,,,,,no_dominant_pfam
3190,e1snlA1,108.1.1,108.1.1.29,108.1.1.121,PF13499,EF-hand_7,78.8,31.3,supports_old_ecod_rep
2576204,e6iwvA1,558.1.1,,558.1.1.19,PF30097,LisH_SSDP,81.8,90.9,supports_commons
1563569,e5aioA1,109.4.1,109.4.1.118,109.4.1.1264,,,,,no_dominant_pfam
7063,e2gfsA1,206.1.1,206.1.1.1,206.1.1.70,PF00069,Pkinase,81.9,214.6,ambiguous_both
1141025,e4n5cD1,109.4.1,,109.4.1.1575,,,,,no_dominant_pfam
1088767,e1oewA2,1.1.1,1.1.1.1,1.1.1.27,PF00026,Asp,91.5,290.1,ambiguous_both
4550,e1elwA1,109.4.1,109.4.1.5,109.4.1.1288,,,,,no_dominant_pfam
1736252,e5ganJ1,109.4.1,,109.4.1.1573,,,,,no_dominant_pfam
9291,e1ps9A3,2003.1.3,2003.1.3.5,2003.1.3.15,PF07992,Pyr_redox_2,67.0,89.7,supports_commons
1866768,e5fifD2,2486.1.1,2486.1.1.3,2486.1.1.15,PF01039,Carboxyl_trans,97.3,251.7,ambiguous_both
2080138,e5ucgA2,327.21.1,327.21.1.1,327.21.1.2,PF31108,SpoIIE_reg,98.4,183.8,supports_commons
2623804,e6bxrA1,7529.1.1,,7529.1.1.14,PF29356,MAF1_C,99.6,564.8,supports_commons
1145793,e2gw1A1,109.4.1,,109.4.1.1438,,,,,no_dominant_pfam
1723271,e5ekeC1,7516.1.1,7516.1.1.2,7516.1.1.106,,,,,no_dominant_pfam
9996,e1f4pA1,2007.2.1,2007.2.1.1,2007.2.1.9,PF00258,Flavodoxin_1,91.8,124.4,ambiguous_both
1551400,e3j6bQ1,4.1.1,4.1.1.146,4.1.1.314,PF22682,Ribosomal_uL24m-like,76.4,313.2,ambiguous_both
1005523,e3u44B2,2004.1.1,2004.1.1.195,2004.1.1.654,PF13361,UvrD_C,78.5,30.0,ambiguous_both
10780,e1ea5A1,7579.1.1,7579.1.1.1,7579.1.1.89,PF00135,COesterase,97.9,558.5,ambiguous_both
1866774,e5hzrA2,2004.1.1,2004.1.1.24,2004.1.1.428,,,,,no_dominant_pfam
11511,e2j01P1,2490.3.1,2490.3.1.1,2490.3.1.3,,,,,no_dominant_pfam
4579,e2bptA1,109.4.1,109.4.1.55,109.4.1.1345,,,,,no_dominant_pfam
1295900,e3lazA1,70.3.1,70.3.1.3,70.3.1.12,PF30644,SAF_GD_AH,87.2,93.8,supports_commons
10820,e1qo7A1,7579.1.1,7579.1.1.31,7579.1.1.97,,,,,no_dominant_pfam
1145817,e3h94A2,1.1.7,1.1.7.38,1.1.7.87,PF25954,Beta-barrel_RND_2,83.2,90.1,supports_commons
1348265,e4pjuA1,109.4.1,109.4.1.117,109.4.1.1350,,,,,no_dominant_pfam
7198,e1dceA3,207.1.1,207.1.1.29,207.1.1.197,,,,,no_dominant_pfam
10875,e1wdkC2,7581.1.1,7581.1.1.1,7581.1.1.22,PF00108,Thiolase_N,95.8,295.3,ambiguous_both
1108126,e4kc5A1,7581.1.1,7581.1.1.2,7581.1.1.22,PF00109,ketoacyl-synt,96.2,225.5,ambiguous_both
1843715,e5dlqB1,109.4.1,109.4.1.125,109.4.1.1463,PF28490,XPO4,80.1,288.2,supports_commons
1141779,e1tedA2,7581.1.1,7581.1.1.4,7581.1.1.24,PF00195,Chal_sti_synt_N,94.2,83.8,ambiguous_both
10878,e1hnjA1,7581.1.1,7581.1.1.13,7581.1.1.23,,,,,no_dominant_pfam
1088877,e4kxfK5,207.1.1,,207.1.1.157,PF29252,LRR_NLRC4,86.2,709.6,supports_commons
4537,e1ouvA1,109.4.1,109.4.1.109,109.4.1.1793,,,,,no_dominant_pfam
1121969,e4m8oA3,2484.1.1,2484.1.1.34,2484.1.1.197,PF03104,DNA_pol_B_exo1,70.0,192.3,ambiguous_both
1891399,e3k6rA1,513.2.1,513.2.1.1,513.2.1.2,PF25133,TYW2_N_2,95.1,112.3,supports_commons
2373,e1lshA1,5087.2.1,5087.2.1.1,5087.2.1.2,PF29934,Vitellogenin_N,92.9,252.6,supports_commons
11490,e2i47A1,2498.1.1,2498.1.1.45,2498.1.1.90,PF13574,Reprolysin_2,87.0,114.4,supports_commons
1310610,e4upcA1,2011.1.1,2011.1.1.12,2011.1.1.35,,,,,no_dominant_pfam
9877,e1zd3A1,2006.1.1,2006.1.1.1,2006.1.1.46,PF00702,Hydrolase,86.7,66.1,ambiguous_both
5472,e1h98A1,205.1.1,205.1.1.1,205.1.1.80,PF13187,Fer4_9,66.2,27.0,supports_commons
2082640,e5jzuA1,109.4.1,109.4.1.118,109.4.1.1287,,,,,no_dominant_pfam
1107957,e1kqfB3,205.1.1,205.1.1.17,205.1.1.48,PF13247,Fer4_11,100.0,90.8,ambiguous_both
2526330,e6jdeB3,375.15.1,,375.15.1.1,PF29404,RadD_Zn_ribbon,85.7,85.2,supports_commons
1411386,e3kv4A2,10.12.1,10.12.1.9,10.12.1.101,,,,,no_dominant_pfam
1546393,e3k2oB1,10.12.1,10.12.1.9,10.12.1.101,PF13621,Cupin_8,71.3,70.8,supports_commons
9911,e2gmwA1,2006.1.1,2006.1.1.15,2006.1.1.44,PF00702,Hydrolase,72.0,36.5,supports_commons
2323923,e5oqdC1,376.1.3,,376.1.3.56,,,,,no_dominant_pfam
2076897,e5kzfJ4,148.1.3,,148.1.3.203,PF28760,ARC_lid,99.4,264.2,supports_commons
2218,e2ovrB1,5.1.4,5.1.4.1,5.1.4.310,,,,,no_dominant_pfam
2526314,e6d7yA1,1205.2.1,,1205.2.1.1,PF31217,CdiA_CT_tRNase,100.0,135.2,supports_commons
2323862,e5n0sA3,1201.1.1,,1201.1.1.1,PF31221,Borosin_clasp,100.0,133.5,supports_commons
2502901,e6gjeC1,207.16.1,,207.16.1.1,PF31269,Cubilin_N,96.4,123.3,supports_commons
2526315,e6d7yB1,7075.1.1,,7075.1.1.1,PF31209,PABL017_Cdi1I,96.1,88.4,supports_commons
2324093,e6f1sA1,2008.8.1,,2008.8.1.1,PF31274,CglI_C,100.0,142.0,supports_commons
1498230,e3lm3A2,12.1.1,12.1.1.20,12.1.1.117,PF12980,DUF3864,72.7,113.7,ambiguous_both
119500,e3nnqA1,101.1.1,101.1.1.73,101.1.1.301,PF16721,zf-H3C2,100.0,226.8,ambiguous_both
8800,e1a0cA1,2002.1.1,2002.1.1.60,2002.1.1.266,,,,,no_dominant_pfam
8461,e1moxC1,389.1.1,,389.1.1.99,PF30999,EGF_TGFA-like,91.8,109.3,supports_commons
1031105,e3zztA4,2004.1.1,2004.1.1.14,2004.1.1.414,PF00009,GTP_EFTU,96.8,219.6,ambiguous_both
9605,e1wf3A2,2004.1.1,2004.1.1.73,2004.1.1.474,PF01926,MMR_HSR1,66.3,84.2,ambiguous_both
1539,e2cspA1,11.1.1,11.1.1.2,11.1.1.862,PF25523,Ig_RIMBP2,88.9,134.3,supports_commons
1731077,e4ww4B1,2004.1.1,2004.1.1.137,2004.1.1.436,PF06068,TIP49,94.7,538.7,ambiguous_both
9693,e1vplA1,2004.1.1,2004.1.1.5,2004.1.1.417,PF00005,ABC_tran,60.9,106.0,ambiguous_both
223974,e4ak1A4,11.1.1,11.1.1.200,11.1.1.1158,PF28861,Ig_BT4661_6th,95.1,224.0,supports_commons
223972,e4ak1A2,11.1.1,11.1.1.200,11.1.1.1383,PF28857,Ig_BT4661_4th,95.7,130.2,supports_commons
1088763,e1mppA1,1.1.1,1.1.1.1,1.1.1.27,PF00026,Asp,92.5,293.7,ambiguous_both
1594,e1f00I2,11.1.1,11.1.1.38,11.1.1.870,,,,,no_dominant_pfam
2206,e1tbgA1,5.1.4,5.1.4.1,5.1.4.253,PF25391,WD40_Gbeta,100.0,782.8,supports_commons
9227,e1ryiA2,2003.1.2,2003.1.2.12,2003.1.2.60,PF01266,DAO,91.3,240.4,ambiguous_both
2235,e1k32A3,5.1.4,5.1.4.29,5.1.4.279,PF26550,Tricorn_2nd,93.6,327.1,supports_commons
9280,e1w4xA1,2003.1.2,2003.1.2.29,2003.1.2.69,,,,,no_dominant_pfam
7608,e1x0hA1,4075.1.1,,4075.1.1.2,PF29130,IQGAP_C,96.0,44.1,supports_commons
2526352,e6qixA1,922.1.1,,922.1.1.21,PF29706,PCHTP_C,100.0,104.3,supports_commons
9230,e2iidA2,2003.1.2,2003.1.2.17,2003.1.2.73,PF01593,Amino_oxidase,88.1,265.8,ambiguous_both
2526309,e6a9sA2,7083.1.1,,7083.1.1.1,PF31251,Pox_A26L_M,100.0,225.7,supports_commons
1291890,e1vw4J1,2490.3.1,2490.3.1.1,2490.3.1.3,,,,,no_dominant_pfam
147022,e3p8cD1,3235.1.1,3235.1.1.1,3235.1.1.26,PF27569,SCAR_helical,65.6,206.7,supports_commons
1693513,e1ihmA2,1.2.1,1.2.1.2,1.2.1.4,PF08435,Calici_coat_C,69.9,303.7,ambiguous_both
2485680,e6ebnA3,7035.1.1,,7035.1.1.1,PF31265,Cuben,100.0,125.5,supports_commons
10975,e2o3iA2,4176.1.1,4176.1.1.1,4176.1.1.2,PF06032,S-Me-THD_N,67.5,115.8,ambiguous_both
9878,e2b0cA1,2006.1.1,2006.1.1.1,2006.1.1.44,PF00702,Hydrolase,90.4,63.7,ambiguous_both
185748,e4fmwA1,2488.1.1,2488.1.1.3,2488.1.1.19,PF27710,TRM10_TRM10A,100.0,296.1,supports_commons
119222,e2knjA1,3090.1.1,,3090.1.1.2,PF30034,Microplusin,83.3,74.3,supports_commons
3139,e1k8uA1,108.1.1,108.1.1.8,108.1.1.102,PF13499,EF-hand_7,62.9,32.5,supports_commons
7939,e1xu6A1,4986.1.1,,4986.1.1.4,,,,,no_dominant_pfam
607,e2f5tX1,4.15.1,4.15.1.1,4.15.1.2,PF31112,TrmB-TrmBL1_EBD_C,98.9,85.9,supports_commons
2323974,e5vhvA2,11.1.1,,11.1.1.987,PF30412,YhaZ_C,95.6,123.7,supports_commons
10839,e1ukcA1,7579.1.1,7579.1.1.1,7579.1.1.89,PF00135,COesterase,97.7,290.7,ambiguous_both
10811,e1c4xA1,7579.1.1,7579.1.1.6,7579.1.1.92,PF12697,Abhydrolase_6,86.8,76.4,supports_commons
9356,e1i1nA1,2003.1.5,2003.1.5.4,2003.1.5.153,PF01135,PCMT,95.5,290.5,ambiguous_both
1184,e1hx6A2,10.2.1,10.2.1.45,10.2.1.87,PF25514,P3_C,92.9,264.6,supports_commons
1779592,e5frpA1,109.4.1,109.4.1.257,109.4.1.1620,PF20168,PDS5,96.7,662.5,ambiguous_both
