f_id	old_rep	new_rep	status	request_id	error
192.8.1.210	P08730_F1_nD1	A0A2R8VHP3_F1_nD3	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...     3872716, 'A0A2R8VHP3_F1_nD3', '192.8.1.210'::ecod_rep.d...
                                                             ^
"
192.8.1.211	K7N091_F1_nD1	C1H1Q6_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3639385, 'C1H1Q6_F1_nD1', '192.8.1.211'::ecod_rep.d...
                                                             ^
"
5086.1.1.87	Q9VJY8_F1_nD1	U7PU40_F1_nD1	SUCCESS		
3755.3.1.281	P49455_F1_nD1	P49455_F1_nD1	SUCCESS		
3755.3.1.283	Q8BHN1_F1_nD1	A0A0G2QC39_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...    3777081, 'A0A0G2QC39_F1_nD1', '3755.3.1.283'::ecod_rep.d...
                                                             ^
"
3755.3.1.282	O94876_F1_nD3	O75069_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3564399, 'O75069_F1_nD1', '3755.3.1.282'::ecod_rep.d...
                                                             ^
"
3755.3.1.291	Q15007_F1_nD3	D3ZPY0_F1_nD2	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3768165, 'D3ZPY0_F1_nD2', '3755.3.1.291'::ecod_rep.d...
                                                             ^
"
5086.1.1.101	A0A077Z0F1_F1_nD4	B2GUX8_F1_nD2	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3773122, 'B2GUX8_F1_nD2', '5086.1.1.101'::ecod_rep.d...
                                                             ^
"
192.8.1.225	Q8CHD8_F1_nD2	Q86YS3_F1_nD2	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3567682, 'Q86YS3_F1_nD2', '192.8.1.225'::ecod_rep.d...
                                                             ^
"
3755.3.1.300	K7KHY4_F1_nD1	I1JJK4_F1_nD3	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3381893, 'I1JJK4_F1_nD3', '3755.3.1.300'::ecod_rep.d...
                                                             ^
"
3755.3.1.306	Q9W1F4_F1_nD3	Q8BKT7_F1_nD3	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3847768, 'Q8BKT7_F1_nD3', '3755.3.1.306'::ecod_rep.d...
                                                             ^
"
386.1.1.207	A0A0R0GP21_F1_nD1	A0A1D6G577_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...     3662297, 'A0A1D6G577_F1_nD1', '386.1.1.207'::ecod_rep.d...
                                                             ^
"
3755.3.1.19	Q8N2N9_F1_nD3	Q8N2N9_F1_nD3	FAILED		"update or delete on table ""domain"" violates foreign key constraint ""cross_boundary_pair_domain1_ecod_uid_fkey"" on table ""cross_boundary_pair""
DETAIL:  Key (ecod_uid)=(3542511) is still referenced from table ""cross_boundary_pair"".
"
