ecod_uid,f_id,ecod_domain_id,ecod_source_id,seqid_range,dtype
4962578,10.1.2.198,D4GRZ7_F1_nD1,D4GRZ7_F1,1-130,computed structural model
5049226,10.1.2.199,A0A532T9F8_F1_nD1,A0A532T9F8_F1,6-210,computed structural model
4945587,10.1.2.188,A0A9Y1BNU6_F1_nD1,A0A9Y1BNU6_F1,21-140,computed structural model
5011978,1085.1.1.2,Q4JC83_F1_nD2,Q4JC83_F1,136-220,computed structural model
5010848,10.1.2.187,Q4J9N3_F1_nD2,Q4J9N3_F1,191-345,computed structural model
4962830,10.1.2.197,D4GSL2_F1_nD3,D4GSL2_F1,126-220,computed structural model
5031168,10.1.2.190,A0A0P9E691_F1_nD3,A0A0P9E691_F1,"61-105,436-540",computed structural model
5032460,10.1.2.180,A0A0P9E0Q4_F1_nD1,A0A0P9E0Q4_F1,1-80,computed structural model
5016551,7070.1.1.1,Q6LZ71_F1_nD1,Q6LZ71_F1,1-200,computed structural model
5034239,10.1.2.200,A0A151E813_F1_nD1,A0A151E813_F1,26-220,computed structural model
