f_id	h_group	current_rep	pfam_acc	assigned_count	good_domain_count	best_candidate	best_source	best_length	best_hh_prob	best_dpam_prob	action
192.8.1.210	192.8	P08730_F1_nD1	PF00038	124	66	A0A2R8VHP3_F1_nD3	proteomes	245	0.9820	0.9890	REPLACE_REP
192.8.1.211	192.8	K7N091_F1_nD1	PF00170	26	4	C1H1Q6_F1_nD1	proteomes	130	0.9740	0.9890	REPLACE_REP
3749.1.1.5	3749.1	I1N780_F1_nD4	PF25983	17	0						MANUAL_REVIEW
5086.1.1.87	5086.1	Q9VJY8_F1_nD1	PF12998	15	7	U7PU40_F1_nD1	proteomes	115	0.2050	0.9470	REPLACE_REP
109.26.1.7	109.26	P52742_F1_nD11	PF00096	13	0						MANUAL_REVIEW
375.1.1.178	375.1	I1LTY4_F1_nD1	PF24747	13	0						MANUAL_REVIEW
3755.3.1.281	3755.3	P49455_F1_nD1	PF00261	13	8	P49455_F1_nD1	proteomes	250	0.9950	1.0000	REPLACE_REP
3297.1.1.11	3297.1	A0A0R0IX28_F1_nD2	PF01486	12	0						MANUAL_REVIEW
3755.3.1.283	3755.3	Q8BHN1_F1_nD1	PF09728	12	10	A0A0G2QC39_F1_nD1	proteomes	305	0.9880	0.9900	REPLACE_REP
3755.3.1.282	3755.3	O94876_F1_nD3	PF10267	11	1	O75069_F1_nD1	proteomes	115	0.2880	0.8950	REPLACE_REP
304.9.1.72	304.9	Q9C0F3_F1_nD6	PF00096	10	0						MANUAL_REVIEW
604.1.1.91	604.1	O60765_F1_nD5	PF00096	10	0						MANUAL_REVIEW
3922.1.1.127	3922.1	Q10P54_F1_nD1	PF05911	9	0						MANUAL_REVIEW
192.8.1.216	192.8	I1JPY3_F1_nD1	PF04949	8	0						MANUAL_REVIEW
3297.1.1.12	3297.1	P18289_F1_nD1	PF00170	8	0						MANUAL_REVIEW
3755.3.1.291	3755.3	Q15007_F1_nD3	PF17098	8	4	D3ZPY0_F1_nD2	proteomes	155	0.9740	0.9810	REPLACE_REP
3755.3.1.294	3755.3	F8WFD2_F1_nD2	PF06409	7	0						MANUAL_REVIEW
5086.1.1.101	5086.1	A0A077Z0F1_F1_nD4	PF05276	7	2	B2GUX8_F1_nD2	proteomes	105	0.4070	0.9650	REPLACE_REP
101.1.11.85	101.1	K7KER1_F1_nD3	PF07839	6	0						MANUAL_REVIEW
192.8.1.225	192.8	Q8CHD8_F1_nD2	PF25450	6	6	Q86YS3_F1_nD2	proteomes	175	0.9750	0.9960	REPLACE_REP
3755.3.1.286	3755.3	Q9BX97_F1_nD6	PF06637	6	0						MANUAL_REVIEW
3755.3.1.287	3755.3	Q9ULJ1_F1_nD3	PF27605	6	0						MANUAL_REVIEW
3755.3.1.292	3755.3	K7KSE7_F1_nD1	PF07526	6	0						MANUAL_REVIEW
