ecod_uid,domain_id,prev_verdict,t_id,old_f,old_pfam,commons_f,new_pfam,domain_arch,j_old,j_commons,best_match,exact_match,comp_verdict
9290,e1djqA3,ambiguous_both,2003.1.3,2003.1.3.3,PF07992,2003.1.3.15,"PF07992,PF13450",,0.0,0.0,,False,comp_no_arch
2298,e1dq3A1,ambiguous_both,69.1.1,69.1.1.4,PF14890,69.1.1.11,"PF07591,PF14890",,0.0,0.0,,False,comp_no_arch
8818,e1gcyA2,no_dominant_pfam,2002.1.1,2002.1.1.5,"PF00128,PF09081",2002.1.1.301,PF09081,,0.0,0.0,,False,comp_no_arch
1107951,e1h0hB2,no_dominant_pfam,205.1.1,205.1.1.17,PF13247,205.1.1.71,"PF12838,PF13247",,0.0,0.0,,False,comp_no_arch
11106,e1lrzA3,ambiguous_both,213.1.1,213.1.1.7,PF02388,213.1.1.75,"PF02388,PF13480",,0.0,0.0,,False,comp_no_arch
1565411,e2vf7B2,no_dominant_pfam,2004.1.1,2004.1.1.5,PF00005,2004.1.1.417,"PF00005,PF13304",,0.0,0.0,,False,comp_no_arch
1407180,e4rcnA6,ambiguous_both,2486.1.1,2486.1.1.3,PF01039,2486.1.1.15,"PF01039,PF03255",,0.0,0.0,,False,comp_no_arch
2323923,e5oqdC1,no_dominant_pfam,376.1.3,,,376.1.3.56,PF30811,,0.0,0.0,,False,comp_no_arch
6742,e1cc1L3,no_dominant_pfam,244.4.1,244.4.1.2,PF00374,244.4.1.3,"PF00374,PF27537",PF27537,0.0,0.5,244.4.1.4,True,comp_points_other
7198,e1dceA3,no_dominant_pfam,207.1.1,207.1.1.29,PF18791,207.1.1.197,"PF00560,PF14580",PF00560,0.0,0.5,207.1.1.1,True,comp_points_other
4551,e1elrA1,no_dominant_pfam,109.4.1,109.4.1.5,PF00515,109.4.1.1394,"PF00515,PF13181,PF13424","PF00515,PF13424",0.5,0.67,109.4.1.8,True,comp_points_other
4554,e1fchA1,no_dominant_pfam,109.4.1,109.4.1.5,PF00515,109.4.1.1263,"PF00515,PF13432",PF13432,0.0,0.5,109.4.1.202;109.4.1.795,True,comp_points_other
1030869,e1h6tA3,no_dominant_pfam,207.1.1,207.1.1.20,PF12799,207.1.1.142,"PF00560,PF12799,PF13516,PF13855","PF12799,PF13855",0.5,0.5,207.1.1.45;207.1.1.86,True,comp_points_other
4520,e1iknD1,no_dominant_pfam,109.3.1,109.3.1.8,PF12796,109.3.1.162,"PF00023,PF12796,PF13857","PF12796,PF13857",0.5,0.67,109.3.1.99,True,comp_points_other
9774,e1iqpA3,ambiguous_both,2004.1.1,2004.1.1.1,PF00004,2004.1.1.415,"PF00004,PF05496","PF00004,PF03215",0.5,0.33,2004.1.1.432,True,comp_points_other
9224,e1kdgA2,ambiguous_both,2003.1.2,2003.1.2.3,"PF00732,PF00890,PF05199",2003.1.2.63,"PF00732,PF05199,PF13450",PF00732,0.33,0.33,2003.1.2.2,True,comp_points_other
4516,e1n11A1,no_dominant_pfam,109.3.1,109.3.1.1,PF00023,109.3.1.165,"PF00023,PF12796,PF13606,PF13637,PF13857","PF12796,PF13637,PF13857",0.0,0.6,109.3.1.169,True,comp_points_other
9485,e1nriA1,no_dominant_pfam,2007.6.1,2007.6.1.12,PF22645,2007.6.1.17,"PF01380,PF22645","PF01380,PF20741,PF22645",0.33,0.67,2007.6.1.18,True,comp_points_other
7192,e1oznA1,no_dominant_pfam,207.1.1,207.1.1.24,PF13855,207.1.1.130,"PF00560,PF13306,PF13855","PF13306,PF13855",0.5,0.67,207.1.1.141,True,comp_points_other
4580,e1qbkB1,no_dominant_pfam,109.4.1,109.4.1.204,PF13513,109.4.1.1313,"PF02985,PF03810,PF13513,PF25574,PF25780","PF03810,PF13513,PF25574,PF25780",0.25,0.8,109.4.1.2207,True,comp_points_other
4578,e1qgrA1,no_dominant_pfam,109.4.1,109.4.1.55,"PF03810,PF13513",109.4.1.1345,"PF02985,PF03810,PF13513,PF25574","PF03810,PF13513,PF25574",0.67,0.75,109.4.1.1592,True,comp_points_other
4607,e1te4A1,ambiguous_both,109.4.1,109.4.1.207,PF13646,109.4.1.1283,"PF02985,PF03130,PF13646","PF03130,PF13646",0.5,0.67,109.4.1.1259,True,comp_points_other
4586,e1u6gC1,no_dominant_pfam,109.4.1,109.4.1.34,"PF02985,PF08623,PF13513",109.4.1.1501,"PF02985,PF08623,PF13513,PF23271,PF25782","PF08623,PF13513,PF25782",0.5,0.6,109.4.1.1776,True,comp_points_other
6738,e1ublL5,no_dominant_pfam,244.4.1,244.4.1.2,PF00374,244.4.1.3,"PF00374,PF27537",PF27537,0.0,0.5,244.4.1.4,True,comp_points_other
4560,e1w3bA1,no_dominant_pfam,109.4.1,109.4.1.5,PF00515,109.4.1.3572,"PF00515,PF07721,PF13181,PF13374,PF13414,PF13424,PF13432,PF14559","PF00515,PF13414,PF13424,PF13431,PF13432,PF14559",0.17,0.56,109.4.1.2248,False,comp_points_other
9280,e1w4xA1,no_dominant_pfam,2003.1.2,2003.1.2.29,PF13450,2003.1.2.69,"PF13450,PF13738",PF13738,0.0,0.5,2003.1.2.30,True,comp_points_other
7193,e1w8aA1,no_dominant_pfam,207.1.1,207.1.1.11,"PF01462,PF13855",207.1.1.164,"PF00560,PF01462,PF01463,PF13855","PF01462,PF01463,PF13855",0.67,0.75,207.1.1.8,True,comp_points_other
6740,e1wuiL3,no_dominant_pfam,244.4.1,244.4.1.2,PF00374,244.4.1.3,"PF00374,PF27537",PF27537,0.0,0.5,244.4.1.4,True,comp_points_other
5474,e1xerA1,no_dominant_pfam,205.1.1,205.1.1.1,PF00037,205.1.1.41,"PF00037,PF13237",PF13237,0.0,0.5,205.1.1.33,True,comp_points_other
7194,e1xkuA1,no_dominant_pfam,207.1.1,207.1.1.24,PF13855,207.1.1.140,"PF00560,PF01462,PF13855","PF01462,PF13855",0.5,0.67,207.1.1.11,True,comp_points_other
4562,e1xnfA1,no_dominant_pfam,109.4.1,109.4.1.95,PF07719,109.4.1.1264,"PF13181,PF13432",PF13432,0.0,0.5,109.4.1.202;109.4.1.795,True,comp_points_other
4613,e1xqrA1,no_dominant_pfam,109.4.1,,,109.4.1.1413,PF28415,"PF08609,PF28415",0.0,0.5,109.4.1.1298,True,comp_points_other
2266,e2bibA1,no_dominant_pfam,702.1.1,702.1.1.1,PF01473,702.1.1.9,"PF01473,PF19085,PF19127","PF01473,PF19127",0.5,0.67,702.1.1.4,True,comp_points_other
4579,e2bptA1,no_dominant_pfam,109.4.1,109.4.1.55,"PF03810,PF13513",109.4.1.1345,"PF02985,PF03810,PF13513,PF25574","PF03810,PF13513,PF25574",0.67,0.75,109.4.1.1592,True,comp_points_other
4563,e2c2lA1,no_dominant_pfam,109.4.1,109.4.1.9,"PF00515,PF18391",109.4.1.1707,"PF00515,PF12895,PF13181,PF18391","PF12895,PF18391",0.33,0.5,109.4.1.3528,False,comp_points_other
2233,e2ebsA1,no_dominant_pfam,5.1.4,5.1.4.52,PF15902,5.1.4.406,"PF15899,PF15902,PF25852",PF15899,0.0,0.33,5.1.4.484;5.1.4.637,False,comp_points_other
1316581,e2ru4B1,no_dominant_pfam,109.4.1,109.4.1.2,PF00514,109.4.1.1332,"PF00514,PF13646,PF16186","PF00514,PF16186",0.5,0.67,109.4.1.3,True,comp_points_other
185442,e3ojaB1,no_dominant_pfam,207.1.1,207.1.1.24,PF13855,207.1.1.130,"PF00560,PF13306,PF13855","PF13306,PF13855",0.5,0.67,207.1.1.141,True,comp_points_other
1031088,e3sfzA5,no_dominant_pfam,5.1.4,5.1.4.1,PF00400,5.1.4.274,"PF00400,PF12894,PF23098,PF23381","PF00400,PF23098,PF23381",0.33,0.75,5.1.4.326,True,comp_points_other
1487475,e4rg6A1,no_dominant_pfam,109.4.1,109.4.1.7,"PF00515,PF12895",109.4.1.1294,"PF00515,PF12895,PF13181,PF13424,PF13432","PF00515,PF12895,PF13181,PF13432",0.5,0.8,109.4.1.1877,True,comp_points_other
1482703,e4rlvA1,no_dominant_pfam,109.3.1,109.3.1.1,PF00023,109.3.1.164,"PF00023,PF12796,PF13606,PF13637","PF12796,PF13637",0.0,0.5,109.3.1.20,True,comp_points_other
1673889,e4ui9O2,no_dominant_pfam,109.4.1,109.4.1.185,PF12862,109.4.1.1398,"PF12862,PF13374,PF29127","PF12862,PF29127",0.5,0.67,109.4.1.2449,True,comp_points_other
1411819,e4uw0A1,no_dominant_pfam,206.1.1,206.1.1.11,PF01636,206.1.1.73,"PF00069,PF01636",PF00069,0.0,0.5,206.1.1.1,True,comp_points_other
1722652,e5a6cB1,no_dominant_pfam,109.4.1,109.4.1.198,PF13424,109.4.1.1315,"PF13176,PF13181,PF13374,PF13424","PF13176,PF13374,PF13424",0.33,0.75,109.4.1.1320,True,comp_points_other
1779584,e5dnyB1,no_dominant_pfam,2004.1.1,2004.1.1.198,PF13476,2004.1.1.514,"PF13476,PF13555,PF13558","PF13476,PF13558",0.5,0.67,2004.1.1.199,True,comp_points_other
1866774,e5hzrA2,no_dominant_pfam,2004.1.1,2004.1.1.24,"PF00176,PF00271",2004.1.1.428,"PF00176,PF00271,PF11496","PF00271,PF14619",0.33,0.25,2004.1.1.25,False,comp_points_other
2080125,e5jqyA1,no_dominant_pfam,109.4.1,109.4.1.118,"PF08514,PF21581,PF21767",109.4.1.1287,"PF13174,PF13181,PF13432","PF13181,PF13432",0.0,0.67,109.4.1.1264,True,comp_points_other
2082640,e5jzuA1,no_dominant_pfam,109.4.1,109.4.1.118,"PF08514,PF21581,PF21767",109.4.1.1287,"PF13174,PF13181,PF13432","PF13181,PF13432",0.0,0.67,109.4.1.1264,True,comp_points_other
2095496,e5o01A1,no_dominant_pfam,109.4.1,109.4.1.198,PF13424,109.4.1.1304,"PF13181,PF13374,PF13424","PF13374,PF13424",0.5,0.67,109.4.1.777;109.4.1.778;109.4.1.781;109.4.1.782;109.4.1.784;109.4.1.785,True,comp_points_other
2036593,e5tqbB1,no_dominant_pfam,109.4.1,109.4.1.118,"PF08514,PF21581,PF21767",109.4.1.1264,"PF13181,PF13432",PF13432,0.0,0.5,109.4.1.202;109.4.1.795,True,comp_points_other
2323971,e5ve8B1,no_dominant_pfam,109.4.1,,,109.4.1.1697,"PF02985,PF03810,PF25574,PF25780","PF03810,PF25574,PF25780",0.0,0.75,109.4.1.1720,True,comp_points_other
2576201,e6i5bA2,no_dominant_pfam,139.2.1,139.2.1.2,"PF02335,PF14522",139.2.1.18,"PF02335,PF13435,PF14522","PF02335,PF13435",0.33,0.67,139.2.1.13,True,comp_points_other
8800,e1a0cA1,no_dominant_pfam,2002.1.1,2002.1.1.60,PF01261,2002.1.1.266,PF27526,PF27526,0.0,1.0,2002.1.1.266,True,comp_supports_commons
4549,e1a17A1,no_dominant_pfam,109.4.1,109.4.1.6,"PF00515,PF08321",109.4.1.1802,"PF00515,PF08321,PF13432","PF00515,PF08321,PF13432",0.67,1.0,109.4.1.1802,True,comp_supports_commons
4585,e1b3uA1,no_dominant_pfam,109.4.1,109.4.1.35,"PF02985,PF13646",109.4.1.1321,"PF02985,PF13646,PF22646,PF22956","PF02985,PF13646,PF22646,PF22956",0.5,1.0,109.4.1.1321,True,comp_supports_commons
9709,e1c4oA1,no_dominant_pfam,2004.1.1,2004.1.1.120,PF04851,2004.1.1.489,"PF04851,PF27431","PF04851,PF27431",0.5,1.0,2004.1.1.489,True,comp_supports_commons
4550,e1elwA1,no_dominant_pfam,109.4.1,109.4.1.5,PF00515,109.4.1.1288,"PF13181,PF13414","PF13181,PF13414",0.0,1.0,109.4.1.1288,True,comp_supports_commons
1594,e1f00I2,no_dominant_pfam,11.1.1,11.1.1.38,PF02368,11.1.1.870,PF26918,PF26918,0.0,1.0,11.1.1.870,True,comp_supports_commons
7190,e1jl5A1,no_dominant_pfam,207.1.1,,,207.1.1.199,"PF00560,PF12468","PF00560,PF12468",0.0,1.0,207.1.1.199,True,comp_supports_commons
2205,e1k3iA3,no_dominant_pfam,5.1.4,5.1.4.10,PF01344,5.1.4.291,"PF01344,PF07250","PF01344,PF07250",0.5,1.0,5.1.4.291,True,comp_supports_commons
10804,e1k8qA1,ambiguous_both,7579.1.1,7579.1.1.6,PF00561,7579.1.1.93,"PF00561,PF04083","PF00561,PF04083",0.5,1.0,7579.1.1.93,True,comp_supports_commons
2225,e1l0qA2,no_dominant_pfam,5.1.4,5.1.4.64,PF21783,5.1.4.405,"PF10282,PF21783,PF22494","PF10282,PF21783,PF22494",0.33,1.0,5.1.4.405,True,comp_supports_commons
3263,e1l9lA1,no_dominant_pfam,198.1.1,198.1.1.1,PF03489,198.1.1.13,"PF03489,PF31278","PF03489,PF31278",0.5,1.0,198.1.1.13,True,comp_supports_commons
4604,e1m8zA1,no_dominant_pfam,109.4.1,109.4.1.16,PF00806,109.4.1.1265,"PF00806,PF22493","PF00806,PF22493",0.5,1.0,109.4.1.1265,True,comp_supports_commons
9608,e1mkyA3,ambiguous_both,2004.1.1,2004.1.1.73,PF01926,2004.1.1.414,"PF00009,PF01926","PF00009,PF01926",0.5,1.0,2004.1.1.414,True,comp_supports_commons
