ecod_uid,commons_f,old_f,old_dep,old_name,old_ecodrep_doms,old_other_doms,old_other_reps,old_commons_members,old_commons_rep_avail,disposition
3332625,101.1.2.498,101.1.2.304,False,E3_UFM1_ligase,1,0,0,149,0,rep_select_hold
3621333,101.1.2.676,101.1.2.256,False,LZ3wCH,1,0,0,1,0,rep_select_hold
3989255,101.1.9.141,101.1.9.33,False,DUF536,1,0,0,1,0,rep_select_hold
3420834,109.4.1.1254,109.4.1.420,False,PPR,1,0,0,706,0,rep_select_hold
3676373,109.4.1.1291,109.4.1.621,False,PPR_3,1,0,0,51,0,rep_select_hold
3425002,109.4.1.1298,109.4.1.404,False,Fes1,1,0,0,6,0,rep_select_hold
3513682,109.4.1.1317,109.4.1.592,False,Vps53_N,1,0,0,2,0,rep_select_hold
3187681,109.4.1.1340,109.4.1.373,False,COG4_m,1,0,0,8,0,rep_select_hold
3192734,109.4.1.1360,109.4.1.574,False,NOC3p,1,0,0,11,0,rep_select_hold
3676400,109.4.1.1373,109.4.1.594,False,Syndetin_C,1,0,0,5,0,rep_select_hold
3196629,109.4.1.1380,109.4.1.377,False,IBB,1,0,0,2,0,rep_select_hold
3921528,109.4.1.1420,109.4.1.331,False,Laa1_Sip1_HTR5,1,0,0,12,0,rep_select_hold
3869101,109.4.1.1429,109.4.1.309,False,Med12,1,0,0,27,0,rep_select_hold
3520480,109.4.1.1432,109.4.1.442,False,THOC2_N,1,0,0,38,0,rep_select_hold
3077426,109.4.1.1456,109.4.1.46,False,IBN_N,1,0,0,61,0,rep_select_hold
3724744,109.4.1.1482,109.4.1.553,False,"IBN_N,Xpo1",1,0,0,14,0,rep_select_hold
3744254,109.4.1.1490,109.4.1.443,False,MOR2-PAG1_C,1,0,0,9,0,rep_select_hold
3696959,109.4.1.1526,109.4.1.326,False,RICTOR_M,1,0,0,4,0,rep_select_hold
3312444,109.4.1.1532,109.4.1.667,False,LINES_C,1,0,0,1,0,rep_select_hold
3735897,109.4.1.1551,109.4.1.472,False,RAI16-like,1,0,0,24,0,rep_select_hold
3993353,109.4.1.1644,109.4.1.330,False,BIG2_C,1,0,0,22,0,rep_select_hold
3208003,109.4.1.1685,109.4.1.1241,False,HIR3_bundle,1,0,0,3,0,rep_select_hold
3692616,109.4.1.1755,109.4.1.460,False,UTP20_C,1,0,0,8,0,rep_select_hold
3530947,109.4.1.1807,109.4.1.1181,False,TPR_Epg5_2,1,0,0,3,0,rep_select_hold
3680397,109.4.1.1862,109.4.1.813,False,RKP_N,1,0,0,1,0,rep_select_hold
3273328,109.4.1.1874,109.4.1.821,False,COG3_C,1,0,0,1,0,rep_select_hold
3916712,109.4.1.1878,109.4.1.539,False,Focadhesin,1,0,0,1,0,rep_select_hold
3171078,109.4.1.1932,109.4.1.590,False,NopRA1,1,0,0,17,0,rep_select_hold
3216039,109.4.1.1945,109.4.1.839,False,Maestro_HEAT,1,0,0,21,0,rep_select_hold
3933480,109.4.1.1946,109.4.1.449,False,"TPR_2,TPR_8",1,0,0,41,1,reseed_from_commons_rep
3194616,109.4.1.1975,109.4.1.544,False,ParcG,1,0,0,19,0,rep_select_hold
3543247,109.4.1.2025,621.1.1.6,False,AC_N,1,0,0,1,0,rep_select_hold
3640594,109.4.1.2200,109.4.1.446,False,MOR2-PAG1_mid,1,0,0,7,0,rep_select_hold
3633705,109.4.1.2507,109.4.1.656,False,Importin_rep_5,1,0,0,6,0,rep_select_hold
3825527,109.4.1.2793,109.4.1.465,False,SPO22,1,0,0,21,0,rep_select_hold
3899300,109.4.1.2873,109.4.1.567,False,Mesothelin,1,0,0,9,0,rep_select_hold
3394514,109.4.1.3380,109.4.1.557,False,TTC7_N,1,0,0,14,0,rep_select_hold
3882607,11.1.1.860,10.1.1.68,False,CLSTN_C,1,0,0,3,0,rep_select_hold
3584829,11.1.1.888,11.1.1.437,False,DB,1,0,0,3,0,rep_select_hold
3842059,11.1.1.927,11.1.1.789,False,KIAA1549,1,0,0,6,0,rep_select_hold
3421072,1.1.1.30,1.1.1.17,False,RVP_2,1,0,0,16,0,rep_select_hold
3265748,150.1.1.100,150.1.1.21,False,MTABC_N,1,0,0,1,0,rep_select_hold
