ecod_uid,f_id,ecod_domain_id,ecod_source_id,seqid_range,dtype
4417696,10.1.1.100,P46992_nD1,P46992_F1,26-355,computed structural model
4169888,101.1.1.539,Q58345_nD1,Q58345_F1,6-205,computed structural model
3803845,105.2.1.7,B0F9L7_F1_nD3,B0F9L7_F1,366-560,computed structural model
4609029,1079.1.1.14,P67143_nD1,P67143_F1,6-195,computed structural model
4497411,109.4.1.1467,Q96JB2_nD2,Q96JB2_F1,"131-510,556-625,681-825",computed structural model
4415123,109.4.1.1493,Q4V8C2_nD3,Q4V8C2_F1,"91-305,311-425,471-775",computed structural model
4275441,109.4.1.1654,Q92797_nD2,Q92797_F1,"1-350,556-1100,1136-1160",computed structural model
4545933,109.4.1.1829,Q9USP3_nD1,Q9USP3_F1,1-440,computed structural model
4381731,109.4.1.2341,O43299_nD1,O43299_F1,"6-255,286-725,746-780",computed structural model
4548088,109.4.1.2343,O46089_nD1,O46089_F1,"1-25,46-1100",computed structural model
4433559,109.4.1.2366,P53185_nD2,P53185_F1,"236-375,466-675",computed structural model
4235833,109.4.1.2877,E9Q6P5_nD1,E9Q6P5_F1,6-840,computed structural model
4480160,11.1.1.1291,Q06247_nD2,Q06247_F1,"81-135,161-270",computed structural model
4473372,150.8.1.5,P9WJE1_nD1,P9WJE1_F1,"1-180,206-235",computed structural model
4638641,174.1.1.53,P0AD47_nD1,P0AD47_F1,11-130,computed structural model
4393970,192.15.1.46,Q54HG9_nD4,Q54HG9_F1,571-680,computed structural model
3869592,192.8.1.14,Q80ST9_F1_nD2,Q80ST9_F1,156-250,computed structural model
4223715,2008.1.1.156,Q5VXU9_nD3,Q5VXU9_F1,871-1030,computed structural model
4199525,206.1.1.226,P39405_nD1,P39405_F1,26-260,computed structural model
4152117,208.2.1.12,P9WIF3_nD2,P9WIF3_F1,"116-475,491-515",computed structural model
4210651,2484.1.1.302,Q58161_nD2,Q58161_F1,66-260,computed structural model
4135575,304.7.1.25,P0DN74_nD1,P0DN74_F1,1-80,computed structural model
4511962,306.6.1.2,Q32EU0_nD2,Q32EU0_F1,"21-30,181-245",computed structural model
4528550,327.16.1.18,Q60327_nD1,Q60327_F1,26-95,computed structural model
4618994,3291.1.1.129,Q9VDV3_nD1,Q9VDV3_F1,"316-340,346-440",computed structural model
4150297,3735.1.1.9,Q9I0F4_nD1,Q9I0F4_F1,41-545,computed structural model
4334905,3755.3.1.504,Q9NUD7_nD1,Q9NUD7_F1,96-270,computed structural model
4395343,3755.3.1.524,P0AFS5_nD2,P0AFS5_F1,"11-90,136-340",computed structural model
4057616,3758.1.1.57,O43490_nD1,O43490_F1,"51-205,431-460,476-520,771-820",computed structural model
4439134,4207.1.2.46,Q5EBL4_nD1,Q5EBL4_F1,"1-70,96-140,351-360",computed structural model
4563128,4992.1.1.29,P34361_nD1,P34361_F1,11-150,computed structural model
4221238,5046.1.1.127,Q9FMB4_nD5,Q9FMB4_F1,"601-640,666-715,731-755",computed structural model
4089352,5069.1.1.63,P44139_nD1,P44139_F1,1-125,computed structural model
4359962,5071.2.1.2,P90789_nD1,P90789_F1,26-123,computed structural model
4433236,5086.1.1.224,Q13772_nD1,Q13772_F1,16-160,computed structural model
4413536,604.5.1.67,Q0JNL3_nD2,Q0JNL3_F1,111-329,computed structural model
4089826,622.1.1.33,Q9I315_nD1,Q9I315_F1,26-110,computed structural model
4214076,632.15.1.9,P9WKW1_nD1,P9WKW1_F1,1-85,computed structural model
4439850,632.2.1.36,Q06631_nD2,Q06631_F1,"171-360,403-425",computed structural model
