ecod_uid,f_id,ecod_domain_id,ecod_source_id,seqid_range,dtype
3944171,1001.1.1.9,A0A0H3GNW0_F1_nD1,A0A0H3GNW0_F1,36-190,computed structural model
3938576,1008.1.1.51,A0A0K0E1Q9_F1_nD1,A0A0K0E1Q9_F1,71-165,computed structural model
4284121,1008.1.1.59,Q44760_nD1,Q44760_F1,31-235,computed structural model
3314684,10.10.1.5,K7KQF7_F1_nD1,K7KQF7_F1,121-275,computed structural model
3682040,101.1.10.36,A0A1D6NXU7_F1_nD6,A0A1D6NXU7_F1,1231-1365,computed structural model
3375404,101.1.10.37,A0A0R0G463_F1_nD1,A0A0R0G463_F1,61-150,computed structural model
3458940,101.1.10.38,Q6ET10_F1_nD1,Q6ET10_F1,51-190,computed structural model
3755304,101.1.10.39,Q5U2X0_F1_nD1,Q5U2X0_F1,6-100,computed structural model
3622779,101.1.10.40,A0A044R7F8_F1_nD1,A0A044R7F8_F1,41-160,computed structural model
3887530,101.1.10.41,A0A0G2KL14_F1_nD2,A0A0G2KL14_F1,176-265,computed structural model
3944356,101.1.10.42,A0A0H3H194_F1_nD1,A0A0H3H194_F1,16-115,computed structural model
3653683,101.1.10.44,B4FLU3_F1_nD1,B4FLU3_F1,"23-55,91-129",computed structural model
3311115,101.1.10.46,I1JXG5_F1_nD1,I1JXG5_F1,31-100,computed structural model
4197020,101.1.10.48,Q74ZM2_nD1,Q74ZM2_F1,46-335,computed structural model
3986792,101.1.10.49,Q32FF6_F1_nD1,Q32FF6_F1,31-125,computed structural model
4646558,101.1.10.50,Q6FX19_nD1,Q6FX19_F1,21-175,computed structural model
4565294,101.1.10.51,Q6FX19_nD2,Q6FX19_F1,176-315,computed structural model
5012580,101.1.10.76,Q5JDS8_F1_nD1,Q5JDS8_F1,6-120,computed structural model
4014027,101.1.11.120,A0A175VZP0_F1_nD2,A0A175VZP0_F1,911-985,computed structural model
3510983,101.1.11.123,A0A077Z8H4_F1_nD1,A0A077Z8H4_F1,107-135,computed structural model
3569789,101.1.11.128,O75474_F1_nD1,O75474_F1,176-205,computed structural model
3173340,101.1.11.131,P40154_F1_nD1,P40154_F1,236-270,computed structural model
3984160,101.1.11.132,Q32GC6_F1_nD1,Q32GC6_F1,21-65,computed structural model
3559319,101.1.11.134,Q92629_F1_nD2,Q92629_F1,101-160,computed structural model
5010035,101.1.11.189,Q4J7Y4_F1_nD1,Q4J7Y4_F1,1-85,computed structural model
5064868,101.1.11.203,UPI0030DE0CA8_nD1,UPI0030DE0CA8,6-95,computed structural model
4929237,101.1.11.206,A0A060HR13_F1_nD1,A0A060HR13_F1,1-75,computed structural model
3755050,101.11.1.3,D4ADC4_F1_nD1,D4ADC4_F1,126-210,computed structural model
4640212,10.1.1.117,P17118_nD1,P17118_F1,41-340,computed structural model
3380633,101.1.11.86,I1L947_F1_nD1,I1L947_F1,81-135,computed structural model
3571374,101.1.1.246,O60315_F1_nD2,O60315_F1,281-305,computed structural model
3239772,101.1.1.264,Q9XU06_F1_nD2,Q9XU06_F1,136-265,computed structural model
3962856,101.1.1.266,X8FCN3_F1_nD1,X8FCN3_F1,1-130,computed structural model
3306117,101.1.1.267,A0A0R0K820_F1_nD2,A0A0R0K820_F1,51-150,computed structural model
3442743,101.1.1.269,A0A0P0W5A1_F1_nD1,A0A0P0W5A1_F1,141-195,computed structural model
3309320,101.1.1.270,K7KEQ6_F1_nD1,K7KEQ6_F1,11-90,computed structural model
4008545,101.1.1.271,P28916_F1_nD1,P28916_F1,1-95,computed structural model
