ecod_uid,f_id,ecod_domain_id,ecod_source_id,seqid_range,dtype
4886556,101.1.2.494,A4WFK6_nD3,A4WFK6_F1,251-340,computed structural model
4886088,102.1.1.153,B3CR62_nD2,B3CR62_F1,461-555,computed structural model
4886297,109.4.1.1588,Q2UBW0_nD3,Q2UBW0_F1,"281-330,486-600,606-1165,1171-1395,1416-1760,1806-1825",computed structural model
4886069,12.3.1.50,Q2U5P7_nD1,Q2U5P7_F1,21-340,computed structural model
4885911,148.1.3.208,Q2IBF7_nD6,Q2IBF7_F1,"1276-1370,1396-1430",computed structural model
4886542,2002.1.1.413,Q3SHE7_nD2,Q3SHE7_F1,326-380,computed structural model
4886087,2003.1.11.7,B0KGD9_nD2,B0KGD9_F1,91-260,computed structural model
4886526,2003.1.1.291,B0KRH6_nD1,B0KRH6_F1,6-110,computed structural model
4885952,2003.1.2.59,Q3SRR6_nD1,Q3SRR6_F1,"1-170,326-470",computed structural model
4886486,2004.1.1.424,A4W7A9_nD2,A4W7A9_F1,66-315,computed structural model
4885915,2004.1.1.761,B0K7T0_nD2,B0K7T0_F1,161-280,computed structural model
4886574,2004.1.1.923,A4WEY3_nD6,A4WEY3_F1,566-690,computed structural model
4886124,2005.1.1.91,Q3SL86_nD1,Q3SL86_F1,196-340,computed structural model
4886474,2007.12.1.5,Q2U9M7_nD2,Q2U9M7_F1,381-535,computed structural model
4886429,2007.1.7.7,Q088S6_nD2,Q088S6_F1,171-358,computed structural model
4885869,2007.6.1.17,A7GD48_nD1,A7GD48_F1,1-225,computed structural model
4885968,2008.1.1.203,Q1JCJ8_nD1,Q1JCJ8_F1,6-975,computed structural model
4886215,2011.1.1.23,A7GR91_nD2,A7GR91_F1,211-320,computed structural model
4886343,305.1.1.8,Q2IXN6_nD1,Q2IXN6_F1,56-175,computed structural model
4885763,314.1.1.43,C0RI89_nD3,C0RI89_F1,296-425,computed structural model
4886707,375.1.1.304,Q72AR5_nD2,Q72AR5_F1,206-400,computed structural model
4886133,4010.1.1.6,A7GJ82_nD2,A7GJ82_F1,"141-280,336-425",computed structural model
4886015,4070.1.1.7,Q5X9U6_nD3,Q5X9U6_F1,196-295,computed structural model
4886247,4143.1.1.10,A4W8W0_nD1,A4W8W0_F1,1-60,computed structural model
4883260,536.1.1.2,e9grxL01,9grx_L,1-109,experimental structure
4886489,601.25.1.2,Q72D51_nD3,Q72D51_F1,216-380,computed structural model
4885912,67.1.1.6,C0R562_nD2,C0R562_F1,146-205,computed structural model
4886444,7515.1.1.32,Q3SGA3_nD1,Q3SGA3_F1,76-310,computed structural model
4885818,7558.1.1.14,Q089E1_nD1,Q089E1_F1,6-210,computed structural model
4886554,821.1.1.9,Q4UL10_nD1,Q4UL10_F1,11-95,computed structural model
4886565,883.1.1.18,Q2UJF5_nD1,Q2UJF5_F1,1-200,computed structural model
