ecod_uid	domain_id	cat	old_f	commons_f
9290	e1djqA3	no_arch	2003.1.3.3	2003.1.3.15
2298	e1dq3A1	no_arch	69.1.1.4	69.1.1.11
8818	e1gcyA2	no_arch	2002.1.1.5	2002.1.1.301
1107951	e1h0hB2	no_arch	205.1.1.17	205.1.1.71
11106	e1lrzA3	no_arch	213.1.1.7	213.1.1.75
1565411	e2vf7B2	no_arch	2004.1.1.5	2004.1.1.417
1407180	e4rcnA6	no_arch	2486.1.1.3	2486.1.1.15
2323923	e5oqdC1	no_arch		376.1.3.56
118927	e1auiB2	subset_ambiguous	108.1.1.29	108.1.1.97
9677	e1b0uA1	subset_ambiguous	2004.1.1.5	2004.1.1.417
11057	e1cjwA1	subset_ambiguous	213.1.1.1	213.1.1.72
10781	e1dx4A1	subset_ambiguous	7579.1.1.1	7579.1.1.89
10780	e1ea5A1	subset_ambiguous	7579.1.1.1	7579.1.1.89
9036	e1ek6A1	subset_ambiguous	2003.1.1.72	2003.1.1.152
3761	e1ewqA1	subset_ambiguous	601.23.1.1	601.23.1.4
118943	e1exrA2	subset_ambiguous	108.1.1.29	108.1.1.96
9996	e1f4pA1	subset_ambiguous	2007.2.1.1	2007.2.1.9
9835	e1gpmA2	subset_ambiguous	2005.1.1.18	2005.1.1.47
9294	e1gteA5	subset_ambiguous	2003.1.3.3	2003.1.3.15
9015	e1hk8A1	subset_ambiguous	2500.1.1.5	2500.1.1.7
10878	e1hnjA1	subset_ambiguous	7581.1.1.13	7581.1.1.23
118952	e1hqvA2	subset_ambiguous	108.1.1.29	108.1.1.99
9356	e1i1nA1	subset_ambiguous	2003.1.5.4	2003.1.5.153
1693513	e1ihmA2	subset_ambiguous	1.2.1.2	1.2.1.4
118964	e1jbaA2	subset_ambiguous	108.1.1.29	108.1.1.97
118965	e1jfjA1	subset_ambiguous	108.1.1.29	108.1.1.99
9355	e1jg1A1	subset_ambiguous	2003.1.5.4	2003.1.5.153
5482	e1jnrB1	subset_ambiguous	205.1.1.13	205.1.1.47
7073	e1kobA1	subset_ambiguous	206.1.1.1	206.1.1.70
1107957	e1kqfB3	subset_ambiguous	205.1.1.17	205.1.1.48
9777	e1lv7A2	subset_ambiguous	2004.1.1.1	2004.1.1.420
1088763	e1mppA1	subset_ambiguous	1.1.1.1	1.1.1.27
9602	e1n0uA5	subset_ambiguous	2004.1.1.14	2004.1.1.414
7079	e1o6yA1	subset_ambiguous	206.1.1.1	206.1.1.70
1088767	e1oewA2	subset_ambiguous	1.1.1.1	1.1.1.27
119003	e1omrA2	subset_ambiguous	108.1.1.29	108.1.1.97
