ecod_uid,f_id,cur_f,same_fgroup
3463224,109.4.1.3393,109.4.1.336,False
3547916,70.4.1.10,70.4.1.6,False
4009677,5086.1.1.220,5086.1.1.61,False
3839082,4312.1.1.20,4312.1.1.16,False
3971194,11.1.1.1361,11.1.1.420,False
3405939,11.2.1.113,11.2.1.38,False
3361155,377.1.1.106,377.1.1.42,False
3744794,4336.1.1.10,4336.1.1.4,False
1144795,11.1.1.1384,11.1.1.200,False
3879896,11.1.1.1218,11.1.1.544,False
3571723,207.4.1.5,207.4.1.4,False
1144796,11.1.1.1385,11.1.1.200,False
3834805,109.3.1.397,109.3.1.43,False
3455825,4044.1.1.23,4044.1.1.9,False
3987511,7579.1.1.254,7579.1.1.67,False
1277253,327.11.2.86,327.11.2.2,False
3647575,109.3.1.194,,False
4030489,109.4.1.3424,109.4.1.730,False
2581350,7047.1.1.1,,False
3886253,3755.3.1.495,3755.3.1.125,False
3239820,3289.1.1.14,3289.1.1.9,False
3948813,316.2.1.3,316.2.1.2,False
3683295,605.1.1.232,605.1.1.87,False
3900498,109.4.1.2893,109.4.1.461,False
3908717,5.1.4.511,5.1.4.144,False
4022212,109.4.1.2612,109.4.1.417,False
3604197,109.4.1.3304,109.4.1.734,False
3863462,386.1.1.352,386.1.1.109,False
3335572,3922.1.1.303,3922.1.1.61,False
3201008,2003.1.5.368,2003.1.5.104,False
3502566,109.4.1.2483,109.4.1.462,False
3921924,4207.1.2.70,4207.1.2.28,False
3791133,109.4.1.2529,109.4.1.861,False
3839094,234.3.1.6,234.3.1.5,False
