commons_f,ecod_uid,domain_id,rep_type,is_reassign,old_f,commons_f_pfam,domain_arch,verdict
1008.1.1.86,3767187,E9PTW9_F1_nD1,provisional,t,,PF03920,PF03920,supports_commons
10.1.1.100,4417696,P46992_nD1,provisional,f,,"PF10287,PF10290","PF10287,PF10290",supports_commons
101.1.10.57,3463534,A0A0P0XDZ9_F1_nD3,provisional,t,,PF13872,PF13872,supports_commons
101.11.1.11,3824130,Q8RWE3_F1_nD1,provisional,t,,PF19160,PF19160,supports_commons
101.1.11.122,2491451,e5xe3E1,provisional,t,,PF30224,,no_arch
101.1.1.267,3834077,Q9LYH2_F1_nD2,provisional,t,101.1.1.113,PF26138,,no_arch
101.1.1.276,1031323,e1h89C3,provisional,t,101.1.1.67,"PF00249,PF13921",,no_arch
101.1.1.285,2671940,e6ursA1,provisional,t,101.1.1.63,PF25787,,no_arch
101.1.1.319,3411217,Q9VWL4_F1_nD4,provisional,t,101.1.1.203,"PF00249,PF23082","PF00249,PF23082",supports_commons
101.1.1.340,3830929,Q1PF74_F1_nD1,provisional,t,101.1.3.7,PF28509,PF28509,supports_commons
101.1.1.368,3953033,L7N691_F1_nD1,provisional,t,,PF19575,PF19575,supports_commons
101.1.1.485,3388396,Q0P8M2_F1_nD2,provisional,t,,PF13309,PF13309,supports_commons
101.1.1.539,4169888,Q58345_nD1,provisional,f,,PF04256,"PF04256,PF18481",supports_commons
101.1.2.494,4886556,A4WFK6_nD3,provisional,f,,PF25873,,no_arch
101.1.2.498,3332625,I1LR30_F1_nD4,provisional,t,101.1.2.304,PF25870,PF25870,supports_commons
101.1.2.601,3488598,A0A5K4EGG7_F1_nD1,provisional,t,101.1.2.137,"PF07106,PF18517","PF07106,PF18517",supports_commons
101.1.2.627,3640877,K7V736_F1_nD1,provisional,t,,PF04844,PF04844,supports_commons
101.1.2.630,3658629,A0A1D6EZM8_F1_nD2,provisional,t,,PF03141,PF03141,supports_commons
101.1.2.676,3621333,A0A044R7Z1_F1_nD1,provisional,t,101.1.2.256,"PF03962,PF18517","PF03962,PF18517",supports_commons
101.1.2.722,3639498,C1H778_F1_nD6,provisional,t,101.1.2.370,"PF20222,PF28722","PF20222,PF28722",supports_commons
101.1.2.836,3977377,Q8ZMT0_F1_nD1,provisional,t,,PF06056,PF06056,supports_commons
101.1.2.913,3289336,K0EQG7_F1_nD4,provisional,t,101.1.2.364,PF19306,PF19306,supports_commons
101.1.3.20,3883738,A4QN70_F1_nD2,provisional,t,,PF13613,PF13613,supports_commons
101.1.9.141,3989255,Q8DQ15_F1_nD1,provisional,t,101.1.9.33,"PF04394,PF13412","PF04394,PF13412",supports_commons
10.12.1.118,1772495,e3g7dA1,provisional,t,,PF30252,,no_arch
10.12.1.162,3803103,Q7X8C5_F1_nD1,provisional,t,,"PF08488,PF13947","PF08488,PF13947",supports_commons
102.1.1.153,4886088,B3CR62_nD2,provisional,f,,PF21680,,no_arch
102.1.1.96,164353,e2owoA2,provisional,t,102.1.1.10,"PF00633,PF03119,PF12826,PF14520",,no_arch
