ecod_uid,domain_id,t_id,old_f,old_f_pfam,commons_f,new_f_pfam,dom_len,dominant_pfam,dominant_name,dominant_cov_pct,dominant_bitscore,n_significant_pfams,verdict,pfam_implied_fgroups
1842535,e2iw3A2,109.4.1,109.4.1.955,PF24984,109.4.1.1442,"PF24984,PF24987",332,,,,,0,no_dominant_pfam,
3190,e1snlA1,108.1.1,108.1.1.29,PF13499,108.1.1.121,PF30624,99,PF13499,EF-hand_7,78.8,31.3,1,supports_old_ecod_rep,108.1.1.5;108.1.1.64;108.1.1.75;108.1.1.96;108.1.1.97;108.1.1.98;108.1.1.99;108.1.1.100;108.1.1.101;108.1.1.102;108.1.1.103;108.1.1.107;108.1.1.108;108.1.1.109;108.1.1.114;108.1.1.125;108.1.1.127;108.1.1.132;108.1.1.133;108.1.1.136;108.1.1.139;108.1.1.143;108.1.1.151;108.1.1.154;108.1.1.162;108.1.1.165;108.1.1.166;108.1.1.170;108.1.1.28;108.1.1.29;108.1.1.73;108.1.1.74;108.1.1.15;108.1.1.177;108.1.1.182;108.1.1.193;108.1.1.194;108.1.1.195;108.1.1.197;108.1.1.199;108.1.1.202;108.1.1.213;108.1.1.215;108.1.1.217;108.1.1.219;108.1.1.220;108.1.1.223
1563569,e5aioA1,109.4.1,109.4.1.118,"PF08514,PF21581,PF21767",109.4.1.1264,"PF13181,PF13432",435,,,,,0,no_dominant_pfam,
2576204,e6iwvA1,558.1.1,,,558.1.1.19,PF30097,66,PF30097,LisH_SSDP,81.8,90.9,1,supports_commons,558.1.1.19;558.1.1.23
1088767,e1oewA2,1.1.1,1.1.1.1,PF00026,1.1.1.27,"PF00026,PF14543",177,PF00026,Asp,91.5,290.1,1,ambiguous_both,1.1.1.27;1.1.1.28;1.1.1.29;1.1.1.31;1.1.1.34;1.1.1.35;1.1.1.1;1.1.1.2;1.1.1.38
7063,e2gfsA1,206.1.1,206.1.1.1,PF00069,206.1.1.70,"PF00069,PF03109",348,PF00069,Pkinase,81.9,214.6,2,ambiguous_both,206.1.1.5;206.1.1.59;206.1.1.6;206.1.1.100;206.1.1.103;206.1.1.110;206.1.1.113;206.1.1.3;206.1.1.91;206.1.1.93;206.1.1.172;206.1.1.174;206.1.1.175;206.1.1.176;206.1.1.70;206.1.1.71;206.1.1.72;206.1.1.73;206.1.1.74;206.1.1.76;206.1.1.78;206.1.1.81;206.1.1.83;206.1.1.85;206.1.1.87;206.1.1.89;206.1.1.92;206.1.1.95;206.1.1.101;206.1.1.111;206.1.1.112;206.1.1.115;206.1.1.120;206.1.1.121;206.1.1.122;206.1.1.124;206.1.1.125;206.1.1.126;206.1.1.128;206.1.1.130;206.1.1.135;206.1.1.136;206.1.1.138;206.1.1.140;206.1.1.141;206.1.1.144;206.1.1.145;206.1.1.146;206.1.1.147;206.1.1.150;206.1.1.151;206.1.1.157;206.1.1.4;206.1.1.61;206.1.1.62;206.1.1.1;206.1.1.2;206.1.1.40;206.1.1.39;206.1.1.158;206.1.1.159;206.1.1.162;206.1.1.163;206.1.1.167;206.1.1.169;206.1.1.177;206.1.1.178;206.1.1.180;206.1.1.181;206.1.1.184;206.1.1.185;206.1.1.187;206.1.1.190;206.1.1.191;206.1.1.193;206.1.1.194;206.1.1.198;206.1.1.201;206.1.1.202;206.1.1.205;206.1.1.206;206.1.1.207;206.1.1.208;206.1.1.210;206.1.1.212;206.1.1.213;206.1.1.218;206.1.1.220;206.1.1.223;206.1.1.228;206.1.1.231;206.1.1.232;206.1.1.234;206.1.1.238;206.1.1.244;206.1.1.246;206.1.1.249;206.1.1.252;206.1.1.253;206.1.1.259;206.1.1.260;206.1.1.263;206.1.1.264;206.1.1.266
4550,e1elwA1,109.4.1,109.4.1.5,PF00515,109.4.1.1288,"PF13181,PF13414",117,,,,,0,no_dominant_pfam,
1141025,e4n5cD1,109.4.1,,,109.4.1.1575,"PF29148,PF29151,PF29158",796,,,,,0,no_dominant_pfam,
1736252,e5ganJ1,109.4.1,,,109.4.1.1573,PF29376,744,,,,,0,no_dominant_pfam,
9291,e1ps9A3,2003.1.3,2003.1.3.5,PF13450,2003.1.3.15,"PF07992,PF13450",179,PF07992,Pyr_redox_2,67.0,89.7,1,supports_commons,2003.1.3.15;2003.1.3.29;2003.1.3.31;2003.1.3.44;2003.1.3.3;2003.1.3.48;2003.1.3.53;2003.1.3.59;2003.1.3.60;2003.1.3.62;2003.1.3.65;2003.1.3.69;2003.1.3.71;2003.1.3.72
2080138,e5ucgA2,327.21.1,327.21.1.1,PF19732,327.21.1.2,PF31108,125,PF31108,SpoIIE_reg,98.4,183.8,1,supports_commons,327.21.1.2
2623804,e6bxrA1,7529.1.1,,,7529.1.1.14,PF29356,273,PF29356,MAF1_C,99.6,564.8,1,supports_commons,7529.1.1.14
9996,e1f4pA1,2007.2.1,2007.2.1.1,PF00258,2007.2.1.9,"PF00258,PF12724",147,PF00258,Flavodoxin_1,91.8,124.4,1,ambiguous_both,2007.2.1.9;2007.2.1.1
1866768,e5fifD2,2486.1.1,2486.1.1.3,PF01039,2486.1.1.15,"PF01039,PF03255",257,PF01039,Carboxyl_trans,97.3,251.7,1,ambiguous_both,2486.1.1.4;2486.1.1.15;2486.1.1.3;2486.1.1.20
1145793,e2gw1A1,109.4.1,,,109.4.1.1438,"PF00515,PF13181,PF13432,PF14559",487,,,,,0,no_dominant_pfam,
1005523,e3u44B2,2004.1.1,2004.1.1.195,PF13361,2004.1.1.654,"PF13361,PF27467",461,PF13361,UvrD_C,78.5,30.0,1,ambiguous_both,2004.1.1.580;2004.1.1.866;2004.1.1.455;2004.1.1.470;2004.1.1.483;2004.1.1.492;2004.1.1.508;2004.1.1.569;2004.1.1.605;2004.1.1.654;2004.1.1.725;2004.1.1.767;2004.1.1.363;2004.1.1.195;2004.1.1.1016;2004.1.1.1017;2004.1.1.1107;2004.1.1.1168
1723271,e5ekeC1,7516.1.1,7516.1.1.2,PF00535,7516.1.1.106,"PF00535,PF30648",313,,,,,0,no_dominant_pfam,
1551400,e3j6bQ1,4.1.1,4.1.1.146,PF22682,4.1.1.314,"PF00467,PF22682",296,PF22682,Ribosomal_uL24m-like,76.4,313.2,1,ambiguous_both,4.1.1.314;4.1.1.146
1866774,e5hzrA2,2004.1.1,2004.1.1.24,"PF00176,PF00271",2004.1.1.428,"PF00176,PF00271,PF11496",295,,,,,0,no_dominant_pfam,
10780,e1ea5A1,7579.1.1,7579.1.1.1,PF00135,7579.1.1.89,"PF00135,PF20434",532,PF00135,COesterase,97.9,558.5,1,ambiguous_both,7579.1.1.135;7579.1.1.147;7579.1.1.89;7579.1.1.91;7579.1.1.101;7579.1.1.1
11511,e2j01P1,2490.3.1,2490.3.1.1,PF00828,2490.3.1.3,"PF00828,PF29471",146,,,,,0,no_dominant_pfam,
1295900,e3lazA1,70.3.1,70.3.1.3,PF08666,70.3.1.12,PF30644,94,PF30644,SAF_GD_AH,87.2,93.8,1,supports_commons,70.3.1.12
4579,e2bptA1,109.4.1,109.4.1.55,"PF03810,PF13513",109.4.1.1345,"PF02985,PF03810,PF13513,PF25574",861,,,,,0,no_dominant_pfam,
10820,e1qo7A1,7579.1.1,7579.1.1.31,PF06441,7579.1.1.97,"PF00561,PF06441",394,,,,,0,no_dominant_pfam,
1145817,e3h94A2,1.1.7,1.1.7.38,PF16576,1.1.7.87,PF25954,95,PF25954,Beta-barrel_RND_2,83.2,90.1,1,supports_commons,1.1.7.87;1.1.7.133
1348265,e4pjuA1,109.4.1,109.4.1.117,"PF08514,PF21581",109.4.1.1350,"PF08514,PF21581,PF24571,PF31007",966,,,,,0,no_dominant_pfam,
7198,e1dceA3,207.1.1,207.1.1.29,PF18791,207.1.1.197,"PF00560,PF14580",124,,,,,0,no_dominant_pfam,
10875,e1wdkC2,7581.1.1,7581.1.1.1,PF00108,7581.1.1.22,"PF00108,PF00109",262,PF00108,Thiolase_N,95.8,295.3,1,ambiguous_both,7581.1.1.18;7581.1.1.22;7581.1.1.23;7581.1.1.28;7581.1.1.30;7581.1.1.32;7581.1.1.33;7581.1.1.36;7581.1.1.38;7581.1.1.42;7581.1.1.43;7581.1.1.19;7581.1.1.1;7581.1.1.51;7581.1.1.52
1108126,e4kc5A1,7581.1.1,7581.1.1.2,PF00109,7581.1.1.22,"PF00108,PF00109",263,PF00109,ketoacyl-synt,96.2,225.5,1,ambiguous_both,7581.1.1.22;7581.1.1.30;7581.1.1.33;7581.1.1.35;7581.1.1.36;7581.1.1.38;7581.1.1.43;7581.1.1.2;7581.1.1.3;7581.1.1.46;7581.1.1.48;7581.1.1.51;7581.1.1.52;7581.1.1.54
