f_id,current_name,correct_name,introduced_release
101.1.10.48,"PF29927, PF29928","BUR2_C, BUR2_N",v293.1
101.1.2.511,"PCI, PF26569","PCI, EIF3CL_C",v293.1
101.1.2.544,"PCI, PF25983","PCI, COPS2_C",v293.1
101.1.2.612,"MarR_2, PF27059","MarR_2, HTH_MmpR5",v293.1
101.1.2.635,"CDT1_C, PF26121","CDT1_C, HTH_CDT1",v293.1
101.1.2.721,"MarR_2, PF27113","MarR_2, GbsR_C",v293.1
101.1.2.722,"DUF6581, PF28722","DUF6581, WHD_Sfc3_5th",v293.1
101.1.2.787,"PF27146, PF27262","Y4jL_N, y4jL_C",v293.1
101.1.4.85,"HTH_3, PF28877","HTH_3, Microp_apicomplexa_28",v293.1
1032.1.1.2,"TcdA_TcdB_pore, PF30720","TcdA_TcdB_pore, DRBD_TcsH_C",v293.1
1033.1.1.3,"TcdA_TcdB_pore, PF30720","TcdA_TcdB_pore, DRBD_TcsH_C",v293.1
109.24.1.5,"DHR-2_Lobe_A, DOCK_C-D_N, PF28208","DHR-2_Lobe_A, DOCK_C-D_N, TPR_DOCK9",v293.1
109.24.1.7,"DHR-2_Lobe_A, PF28208","DHR-2_Lobe_A, TPR_DOCK9",v293.1
109.3.1.418,"PF28996, PF29088","DDB_G0281631_C, DUF8503",v293.1
109.35.1.11,"PC_rep, PF27562, PF29300","PC_rep, APC1_4th, APC1_5th",v293.1
109.4.1.1297,"TIMELESS, PF27570","TIMELESS, TOF-1-like_helical",v293.1
109.4.1.1298,"Fes1, PF28415","Fes1, SIL1_FES1_HPBP1_C",v293.1
109.4.1.1319,"Fungal_trans, PF31024","Fungal_trans, Fungal_trans_C",v293.1
109.4.1.1329,"NatB_MDM20, PF31234","NatB_MDM20, TPR_Psidin_N",v293.1
109.4.1.1333,"Vps35, PF27614","Vps35, VPS35L_N",v293.1
109.4.1.1350,"STAG, SCD, HEAT_SCC3-SA, PF31007","STAG, SCD, HEAT_SCC3-SA, STAG_C",v293.1
109.4.1.1364,"TPR_PATROL1, PF27629","TPR_PATROL1, UNC13_3rd",v293.1
109.4.1.1366,"DOCK_C-D_N, PF28208","DOCK_C-D_N, TPR_DOCK9",v293.1
109.4.1.1397,"HAT, HAT_Syf1_CNRKL1_C, HAT_Syf1_CNRKL1_N, HAT_PRP39_C, PF29376","HAT, HAT_Syf1_CNRKL1_C, HAT_Syf1_CNRKL1_N, HAT_PRP39_C, PRP6_TPR",v293.1
109.4.1.1398,"ANAPC5, TPR_10, PF29127","ANAPC5, TPR_10, SUCH1_C",v293.1
109.4.1.1400,"PF27614, PF30377","VPS35L_N, VPS35L_C",v293.1
109.4.1.1425,"Exo84_C, PF27696","Exo84_C, EXO84_helical",v293.1
109.4.1.1434,"TRAPPC9-Trs120, PF26251","TRAPPC9-Trs120, TPR_TRAPPC9-Trs120",v293.1
109.4.1.1458,"CBF, PF26702","CBF, TPR_NOC4",v293.1
109.4.1.1467,"COG3_N, COG3_C, PF31184","COG3_N, COG3_C, COG3_Ccap",v293.1
109.4.1.1492,"HEAT_SCC3-SA, PF31007","HEAT_SCC3-SA, STAG_C",v293.1
