ecod_uid,f_id,hmm_cov
3938576,1008.1.1.51,0.482
3458940,101.1.10.38,0.307
3653683,101.1.10.44,0.327
3510983,101.1.11.123,0.215
3569789,101.1.11.128,0.122
3173340,101.1.11.131,0.4
3559319,101.1.11.134,0.243
3962856,101.1.1.266,0.335
4128031,101.1.1.282,0.48
3525714,101.1.1.286,0.452
3461974,101.1.1.302,0.44
4048642,101.1.1.304,0.419
4271344,101.1.1.305,0.289
4128029,101.1.1.307,0.238
3178411,101.1.1.311,0.245
4061700,101.1.1.312,0.357
3874666,101.1.1.317,0.408
3945211,101.1.13.2,0.31
4919031,101.1.1.330,0.431
3642853,101.1.1.343,0.424
3199957,101.1.1.344,0.225
3837930,101.1.1.347,0.25
3944885,101.1.1.355,0.356
3655266,101.1.1.362,0.336
3226995,101.1.1.369,0.463
4321283,101.1.1.378,0.358
3987150,101.1.1.382,0.162
3841511,101.1.1.384,0.457
4962257,101.1.1.542,0.161
5021230,101.1.1.544,0.491
4965811,101.1.1.559,0.355
4946735,101.1.17.47,0.175
3558237,101.1.20.4,0.22
3453675,101.1.2.304,0.408
4156027,101.1.2.501,0.34
4944735,101.1.2.542,0.267
3746985,101.1.2.551,0.34
4902866,101.1.2.552,0.066
4259268,101.1.2.553,0.128
3650126,101.1.2.559,0.407
4153338,101.1.2.567,0.435
3557902,101.1.2.580,0.232
4484261,101.1.2.582,0.344
3987859,101.1.2.584,0.442
3269873,101.1.2.602,0.49
4452821,101.1.2.604,0.167
3770447,101.1.2.606,0.355
4211410,101.1.2.614,0.127
3166485,101.1.2.616,0.364
4029431,101.1.2.634,0.463
4370980,101.1.2.637,0.215
3914228,101.1.2.640,0.205
4609020,101.1.2.642,0.495
3972090,101.1.2.668,0.207
4975298,101.1.2.876,0.171
5018158,101.1.2.886,0.205
4965091,101.1.2.908,0.284
4944204,101.1.2.916,0.46
4966143,101.1.2.937,0.339
3961351,101.1.3.13,0.335
3664025,101.1.4.59,0.324
3726714,101.1.6.21,0.186
4969699,101.1.6.40,0.355
3855409,10.1.1.68,0.466
4917097,10.1.1.79,0.378
4889565,10.1.1.87,0.345
3979434,101.1.9.101,0.336
3961212,101.1.9.104,0.457
3978692,101.1.9.143,0.348
4945293,101.1.9.153,0.383
3676076,101.1.9.83,0.378
4446125,101.1.9.89,0.214
4040255,101.1.9.92,0.162
3840108,101.1.9.95,0.4
3957333,101.43.1.2,0.15
4649569,101.45.1.2,0.204
4941231,101.45.1.3,0.114
3903397,102.1.1.124,0.345
4966884,102.1.1.181,0.353
4946451,102.1.1.182,0.303
4030548,102.1.2.23,0.44
4947779,102.2.1.15,0.428
3489712,103.1.1.106,0.264
3201329,103.1.1.66,0.223
5080761,103.12.1.14,0.382
4125065,10.32.1.214,0.458
3243005,10.32.1.227,0.297
3891424,10.32.1.228,0.187
4021020,10.32.1.237,0.226
3453850,10.32.1.251,0.219
4921349,10.32.1.257,0.203
3988300,10.32.1.260,0.191
4027683,10.32.1.265,0.465
4508798,10.32.1.278,0.268
3968620,10.32.1.280,0.269
4848485,10.32.1.281,0.162
3372062,103.2.1.3,0.396
4824961,1033.1.1.1,0.238
3219982,10.4.1.19,0.349
4863815,1042.1.1.12,0.314
4877392,1043.1.1.4,0.295
3655770,106.1.1.12,0.429
3535523,1073.1.1.11,0.474
3697967,1075.1.1.35,0.372
3563501,1078.1.1.5,0.291
4080359,1079.1.1.10,0.235
3167402,108.1.1.116,0.311
4139737,108.1.1.117,0.319
3233668,108.1.1.156,0.403
3533326,1084.1.1.5,0.4
3561026,1086.1.1.4,0.108
3606951,109.2.1.80,0.468
3812109,109.3.1.181,0.327
4009767,109.3.1.206,0.423
4887971,109.3.1.212,0.475
4911556,109.3.1.213,0.451
3693457,109.3.1.242,0.263
3652609,109.3.1.245,0.484
3911465,109.3.1.254,0.438
4662266,109.3.1.274,0.436
4771225,109.3.1.277,0.341
4816736,109.3.1.279,0.256
4842430,109.3.1.472,0.379
5070905,109.3.1.476,0.371
4976395,109.3.1.477,0.341
4964905,109.3.1.479,0.48
3377010,109.4.1.1411,0.405
3369981,109.4.1.1477,0.466
3554694,109.4.1.1503,0.423
3771911,109.4.1.1512,0.454
1148599,109.4.1.1515,0.393
3303405,109.4.1.1531,0.498
3665480,109.4.1.1559,0.462
3821424,109.4.1.1682,0.431
3380457,109.4.1.1746,0.345
3651070,109.4.1.1762,0.38
3706492,109.4.1.1775,0.311
3983259,109.4.1.1792,0.42
3236655,109.4.1.1839,0.475
3591483,109.4.1.1882,0.437
3438265,109.4.1.1912,0.426
3574620,109.4.1.1953,0.428
3574949,109.4.1.2010,0.214
3659086,109.4.1.2014,0.295
4376981,109.4.1.2015,0.403
3779029,109.4.1.2027,0.414
3614713,109.4.1.2083,0.288
3520908,109.4.1.2116,0.245
3723421,109.4.1.2133,0.164
3768533,109.4.1.2144,0.457
3227547,109.4.1.2155,0.305
3366253,109.4.1.2171,0.403
3169582,109.4.1.2220,0.492
3577150,109.4.1.2225,0.381
4835739,109.4.1.2254,0.47
3862877,109.4.1.2270,0.453
3843381,109.4.1.2294,0.413
3860749,109.4.1.2302,0.309
3287311,109.4.1.2330,0.408
3714748,109.4.1.2385,0.357
3571589,109.4.1.2390,0.476
3863807,109.4.1.2397,0.403
4680149,109.4.1.2401,0.435
3215649,109.4.1.2408,0.485
3171797,109.4.1.2424,0.234
2523682,109.4.1.2441,0.478
4862088,109.4.1.2448,0.166
3579139,109.4.1.2724,0.225
4848435,109.4.1.377,0.461
3312906,109.4.1.442,0.275
4018555,109.4.1.446,0.396
4098259,110.1.1.13,0.453
3560807,11.1.1.1024,0.458
3538465,11.1.1.1030,0.33
3260190,11.1.1.1039,0.243
3348558,11.1.1.1090,0.307
3533150,11.1.1.1108,0.441
