fid,pfam_acc,n_cand,n_pdb,n_concordant,pick_uid,pick_domain,pick_source,pick_seqlen,pick_concordant,pick_hmm_cov,pick_pfams,runner_source,runner_uid,group_flag
109.4.1.1306,"PF00515,PF13414",37,10,36,2875708,e8a3tK2,pdb,0,True,0.971,"PF00515,PF13414",pdb,2875769,
386.1.1.242,"PF00096,PF23611",16,1,16,2035445,e2d9hA1,pdb,78,True,1.0,"PF00096,PF23611",afdb,3863460,
2002.1.1.322,"PF05185,PF17285",5,4,5,4889574,e9pxzA1,pdb,287,True,0.972,"PF05185,PF17285",pdb,4917232,
4012.3.1.4,PF22702,5,5,5,4922657,e9waaA3,pdb,0,True,0.397,PF22702,pdb,4922641,
101.1.9.84,"PF00376,PF13411",10,1,10,163703,e2dg6A1,pdb,214,True,0.957,PF13411,afdb,3284686,
5.1.4.359,"PF00400,PF04003,PF12894",7,7,7,4912068,e9n73LO2,pdb,0,True,0.974,"PF00400,PF04003,PF12894",pdb,4912071,
7516.1.1.117,"PF00535,PF03552,PF13632",16,6,13,4815849,e7lbyA01,pdb,544,True,0.994,"PF00535,PF13632",pdb,4879907,
207.1.1.147,"PF00560,PF12799,PF13855,PF23598",48,9,48,3849803,Q9CRC8_F1_nD1,afdb,570,True,1.0,"PF00560,PF13855,PF23598",afdb,4281187,
109.4.1.1540,"PF12895,PF13181,PF13374,PF13424",15,15,9,1910252,e5khrJ1,pdb,477,True,0.976,"PF12895,PF13424",pdb,1910269,
109.4.1.117,"PF08514,PF21581",40,26,15,4787440,e5qstC01,pdb,196,True,1.0,"PF08514,PF21581",afdb,3994588,
301.6.1.14,"PF17681,PF20685",2,2,1,4882936,e9g3xJ02,pdb,197,True,0.913,"PF17681,PF20685",pdb,5288640,
4038.1.1.11,PF23899,78,78,63,4891117,e9yf8PA1,pdb,593,True,0.949,PF23899,pdb,4923934,
109.3.1.471,PF17985,6,6,1,4785496,e5nl1G01,pdb,50,True,1.0,PF17985,pdb,5092109,
109.4.1.1353,"PF13181,PF13414,PF13432",21,5,21,2774008,e6xt9D1,pdb,396,True,1.0,"PF13181,PF13414,PF13432",pdb,1698351,
5.1.3.147,"PF01344,PF24981",30,3,29,2996610,e7oncA1,pdb,0,True,0.986,PF24981,pdb,2996611,
219.1.1.112,"PF00443,PF13423",43,3,43,2970095,e8a9kD1,pdb,0,True,0.996,PF00443,pdb,2974651,
207.1.1.141,"PF13306,PF13855",81,23,81,1411654,e4rcwA1,pdb,238,True,1.0,"PF13306,PF13855",pdb,1411655,
7575.1.1.11,PF31181,111,13,109,151242,e4f6oA1,pdb,292,True,1.0,PF31181,pdb,868888,
4950.1.1.5,PF26319,2,1,2,3063144,e8c8gA2,pdb,0,True,1.0,PF26319,afdb,4035797,
4041.1.1.8,"PF04561,PF04563,PF04565",6,6,6,4896384,e9gdaC4,pdb,0,True,0.241,"PF04561,PF04563,PF04565",pdb,4896393,
109.4.1.1286,"PF13181,PF13424",55,12,55,2448606,e6mfvA1,pdb,356,True,0.87,"PF13181,PF13424",pdb,2452270,
198.1.1.3,PF05184,19,2,19,2733002,e7mbkA1,pdb,77,True,1.0,PF05184,pdb,2723814,
5.1.5.111,"PF00400,PF12894,PF23098",4,3,4,2801194,e7oopY1,pdb,300,True,1.0,"PF00400,PF12894,PF23098",pdb,2801221,
2004.1.1.734,"PF00270,PF18119",3,3,3,4890328,e9tm6A1,pdb,218,True,0.433,"PF00270,PF18119",pdb,4920782,
207.2.1.76,"PF05048,PF12708,PF13229",8,3,8,2132572,e5lw3A1,pdb,381,True,0.915,"PF12708,PF13229",pdb,342775,
109.4.1.621,PF13812,51,8,47,4795245,e6gazAo01,pdb,133,True,0.889,PF13812,pdb,4818031,
109.4.1.1363,"PF02985,PF13513,PF25574",20,1,20,1181999,e2qnaA2,pdb,732,True,1.0,"PF13513,PF25574",afdb,3566450,
109.4.1.1332,"PF00514,PF13646,PF16186",25,22,25,1614803,e4db8D1,pdb,82,True,0.976,"PF00514,PF16186",pdb,1614805,
109.4.1.2204,"PF02184,PF23231,PF23233,PF23240",2,1,2,4876584,e8xi2J01,pdb,522,True,0.981,"PF23233,PF23240",afdb,3686174,
223.1.1.127,PF24820,3,3,3,388663,e3mfxC1,pdb,118,True,1.0,PF24820,pdb,138904,
376.1.1.102,PF26191,14,3,13,4816451,e7m4mA01,pdb,106,True,0.865,PF26191,pdb,4842658,
3333.1.1.2,PF23554,2,2,2,4888636,e9lx0B5,pdb,591,True,1.0,PF23554,pdb,4906296,
5.1.4.64,PF21783,30,16,30,5018123,Q8PSQ0_F1_nD1,afdb,0,True,0.864,PF21783,pdb,433343,
2003.1.1.169,"PF00670,PF07991",22,1,22,2106076,e6aphA2,pdb,163,True,1.0,PF00670,afdb,3224434,
208.1.1.54,PF00507,4,4,1,4882415,e9f5xS01,pdb,150,True,0.798,PF00507,pdb,5280459,
4167.1.1.3,PF00460,20,20,20,4886901,e8z5sm1,pdb,70,True,0.903,PF00460,pdb,4892732,
108.1.1.232,PF12799,3,3,1,4863576,e8r4bA02,pdb,38,True,0.636,PF12799,pdb,5174257,
207.1.1.166,"PF00560,PF01462,PF13306,PF13516,PF13855",25,17,25,2034058,e5mx0B1,pdb,306,True,1.0,"PF00560,PF01462,PF13306,PF13516,PF13855",pdb,2034057,
2004.1.1.624,"PF01078,PF07728",6,2,6,1879284,e4zpxB1,pdb,241,True,0.993,PF07728,pdb,1828414,
2003.1.9.10,"PF00899,PF16190",2,2,2,4884047,e9jtcA01,pdb,171,True,0.557,"PF00899,PF16190",pdb,4858674,
1075.4.1.9,"PF00005,PF00664",116,16,110,4878768,e8zbrA03,pdb,339,True,1.0,"PF00005,PF00664",pdb,4878772,
375.1.1.206,"PF01780,PF12760",14,10,14,2642976,e6skfBg1,pdb,84,True,0.941,PF01780,pdb,2651096,
207.1.1.185,"PF00560,PF12799,PF13516",17,3,15,4863578,e8r4bA03,pdb,173,True,0.955,"PF12799,PF13516",afdb,3933623,
109.4.1.1799,"PF13176,PF13432,PF14559",5,4,5,1113706,e3asfA1,pdb,174,True,0.938,"PF13432,PF14559",pdb,1113707,
5054.1.1.62,PF16519,40,40,40,4889230,e9o86C3,pdb,68,True,0.696,PF16519,pdb,4914829,
206.1.3.55,"PF03133,PF14398",271,259,252,2966469,e8asnG1,pdb,0,True,0.973,PF03133,pdb,2969423,
2004.1.1.682,"PF00004,PF00009",44,44,4,2049689,e5wyjB11,pdb,182,True,0.511,PF00009,pdb,2060428,
213.1.1.71,PF29847,99,62,97,2443696,e5xzcA1,pdb,350,True,0.712,PF29847,pdb,2443710,
1.1.7.89,PF26002,29,12,20,2886946,e7sgrG1,pdb,0,True,1.0,PF26002,pdb,2969698,
101.3.1.2,PF17830,72,2,72,2812030,e7kw7E3,pdb,65,True,0.982,PF17830,pdb,215074,
5.1.5.79,"PF00400,PF23342",18,13,18,3854531,Q6ZPG2_F1_nD5,afdb,314,True,1.0,PF23342,afdb,4616630,
6129.1.1.9,PF06534,44,22,33,2641856,e6z3mc1,pdb,164,True,0.688,PF06534,pdb,2641857,
10.32.1.281,PF02836,8,8,2,4848485,e8gesA03,pdb,51,True,0.162,PF02836,pdb,4848490,
3225.1.1.7,PF04959,2,2,1,4794739,e6f7sC02,pdb,118,True,0.415,PF04959,pdb,5094896,
