ecod_uid,new_f_id
3767187,1008.1.1.86
3463534,101.1.10.57
3824130,101.11.1.11
3411217,101.1.1.319
3830929,101.1.1.340
3953033,101.1.1.368
3388396,101.1.1.485
3488598,101.1.2.601
3640877,101.1.2.627
3658629,101.1.2.630
3639498,101.1.2.722
3977377,101.1.2.836
3289336,101.1.2.913
3883738,101.1.3.20
3803103,10.12.1.162
3822510,10.32.1.259
3914225,10.32.1.283
4010426,1079.1.1.13
3677917,109.3.1.320
3889637,109.3.1.353
3322490,109.3.1.382
3857708,109.3.1.444
3831659,109.4.1.1267
1115536,109.4.1.1276
3276177,109.4.1.1297
3566616,109.4.1.1301
3717635,109.4.1.1307
3749064,109.4.1.1318
2067064,109.4.1.1329
3773276,109.4.1.1362
3411060,109.4.1.1366
3410210,109.4.1.1399
4012551,109.4.1.1478
3801223,109.4.1.1486
3582059,109.4.1.1547
1148603,109.4.1.1571
3846956,109.4.1.1593
3469373,109.4.1.1660
3180417,109.4.1.1673
3462725,109.4.1.1738
3586120,109.4.1.1815
3728562,109.4.1.1824
3627161,109.4.1.1924
3723992,109.4.1.1933
3171188,109.4.1.1974
3411530,109.4.1.2031
3344993,109.4.1.2176
3469648,109.4.1.2230
3410378,109.4.1.2376
3842495,109.4.1.2378
3762807,109.4.1.2400
3501148,109.4.1.2498
3734422,109.4.1.2516
3683800,109.4.1.2662
3671849,109.4.1.2676
3410402,109.4.1.2771
3917988,109.4.1.2894
3428374,109.7.1.25
3221682,11.1.1.1023
3753073,11.1.1.1057
3825031,11.1.1.1188
3902508,11.1.1.850
3465075,11.1.1.864
3774377,11.1.1.877
3778736,11.1.1.886
3777702,11.1.1.951
3950412,11.1.4.130
3764996,11.2.1.77
3336273,1134.1.2.19
3603232,12.1.1.114
3831253,145.1.1.68
3817447,150.1.1.103
4002117,150.1.1.104
3634113,150.1.1.105
3768875,150.1.1.122
3678595,150.1.2.21
3467691,150.5.1.76
3295851,170.1.1.30
3816910,174.1.1.58
3643501,192.1.1.47
3650916,192.18.1.12
3975330,192.29.1.167
3650079,192.29.1.191
3469983,192.29.1.232
3825907,192.29.1.270
3947112,192.8.1.394
3778270,192.8.1.420
3776016,192.8.1.423
3602448,192.8.1.449
3237896,192.8.1.450
3831508,192.8.1.476
3964459,2004.1.1.507
3812750,2004.1.1.528
3412769,2004.1.1.560
2041636,2007.15.1.11
3559955,2007.15.1.9
1406783,207.1.1.135
3481383,207.1.1.149
3686677,207.1.1.243
3838480,207.2.1.83
3701262,2.1.1.225
168820,2.1.1.262
3357873,2.1.1.315
3855031,220.1.1.167
3426886,220.1.1.187
3296798,221.1.1.208
3601745,221.1.1.209
4010374,223.1.1.156
3615546,229.1.1.10
3164368,241.9.1.2
3963115,243.1.1.77
3953828,2484.1.1.211
3236742,2484.1.1.233
3979705,2484.1.1.248
3388388,2498.1.1.147
3444368,304.156.1.4
3674572,3236.2.1.10
3980613,3236.2.1.8
3424397,3236.2.1.9
3628244,3246.1.1.7
3360137,325.1.7.44
3949582,327.11.2.48
3677499,327.1.1.8
3716595,3289.1.1.11
3988675,3355.1.1.29
3471338,3567.1.1.131
3442778,3567.1.1.88
3646445,3615.1.1.38
3836944,3615.1.1.54
3653949,3718.1.1.13
3984750,375.1.1.295
3179118,3755.3.1.481
3746547,3755.3.1.520
3423350,3755.4.1.67
3460218,376.1.1.101
3648747,376.1.3.62
3546355,376.1.3.66
3446193,377.9.1.18
3791504,3860.1.1.177
3919015,3860.1.1.204
3209310,386.1.1.359
2570776,387.1.1.60
3763437,391.1.2.18
3777978,3922.1.1.260
3914675,3922.1.1.273
3196010,3930.1.1.15
3791349,3939.1.1.254
3855268,3939.1.1.365
3649736,4120.1.1.54
4008053,4168.1.1.7
3338438,4974.1.1.4
3676716,5001.1.1.134
3856378,5055.1.1.13
3781447,5069.1.1.58
3289058,5069.1.1.65
3385460,5069.1.1.74
3821523,5069.1.3.122
3824646,5069.1.3.71
3822008,5069.1.3.93
3247277,5069.1.3.99
3405242,5084.5.1.37
3986334,5084.5.4.14
3200787,5086.1.1.211
3769055,5086.1.1.215
3427055,5.1.11.13
3579705,5.1.11.29
3902876,5.1.3.189
3419955,5.1.3.207
3710260,5.1.3.244
3184944,5.1.4.278
3450480,5.1.4.297
3628639,5.1.4.303
3896806,5.1.4.341
3912315,5.1.4.371
3341382,5.1.4.411
3520328,5.1.5.152
3845007,5.1.5.183
3305160,5.1.5.185
3826459,5.1.5.96
3428948,5.1.5.98
3818723,5.1.8.12
3922695,53.1.1.6
2322928,557.1.1.10
3953479,601.1.1.136
3787094,601.1.1.142
3444036,601.1.1.91
4010647,601.1.2.88
3657554,601.33.1.16
4007860,601.4.1.81
4001740,603.1.1.135
3429007,603.1.1.231
4008327,604.39.1.26
3494458,604.6.1.39
3832010,605.1.1.255
3825000,605.1.1.318
3245823,6129.1.1.10
3880538,632.1.1.28
3753917,632.15.1.6
3428408,632.2.1.30
3654919,632.22.1.123
3955897,633.21.1.36
3780773,633.23.1.38
3217626,7512.1.1.127
3257477,7516.1.1.111
3387296,7516.1.1.172
3453796,7519.1.1.11
3724679,7577.1.1.30
3974146,7579.1.1.260
3382472,7581.1.1.25
3603198,7582.1.1.2
3978742,7592.1.1.9
3976809,77.1.1.6
2141651,913.1.1.5
