fid,ecod_uid,ecod_domain_id,reason
1075.1.1.65,2673983,e6xjhA1,already_in_ecod_rep
108.1.1.121,3190,e1snlA1,already_in_ecod_rep
109.24.1.7,3237760,Q20487_F1_nD3,already_in_ecod_rep
109.4.1.1441,3391254,Q7K4B6_F1_nD3,already_in_ecod_rep
109.4.1.1646,4013755,A0A175VX08_F1_nD3,already_in_ecod_rep
109.4.1.1671,3679543,A0A1D6NMA4_F1_nD1,already_in_ecod_rep
109.4.1.1996,3672750,A0A1D6QSM7_F1_nD3,already_in_ecod_rep
109.4.1.2043,3863703,Q56A06_F1_nD2,already_in_ecod_rep
109.4.1.2174,3298342,A0A0R0IKU5_F1_nD1,already_in_ecod_rep
109.4.1.2194,3182967,U7PP98_F1_nD6,already_in_ecod_rep
109.4.1.2364,4008042,P45955_F1_nD2,already_in_ecod_rep
1.2.1.4,1693513,e1ihmA2,already_in_ecod_rep
192.7.1.29,3181675,U7PIY3_F1_nD4,already_in_ecod_rep
2002.1.1.301,8818,e1gcyA2,already_in_ecod_rep
2003.1.1.210,3663186,A0A1D6HQF5_F1_nD1,already_in_ecod_rep
2003.1.2.34,3347858,A0A0R0JSY5_F1_nD4,already_in_ecod_rep
2004.1.1.474,9605,e1wf3A2,already_in_ecod_rep
2004.1.1.500,1447873,e4rh7A4,already_in_ecod_rep
205.1.1.39,2573473,e5odcA3,already_in_ecod_rep
207.1.1.317,3303926,I1LEG9_F1_nD1,already_in_ecod_rep
207.2.1.70,2849216,e7o17A1,already_in_ecod_rep
213.1.1.75,11106,e1lrzA3,already_in_ecod_rep
220.1.1.222,4344898,Q6CKU6_nD3,ecod_domain_id_collision
312.1.1.21,3272015,Q54SD6_F1_nD1,already_in_ecod_rep
3567.1.1.99,3393497,Q8IRH3_F1_nD4,already_in_ecod_rep
378.1.1.27,3952818,O53196_F1_nD2,already_in_ecod_rep
4.1.1.360,3256431,Q54GS9_F1_nD1,already_in_ecod_rep
5001.1.1.179,3205061,C0NQA8_F1_nD1,already_in_ecod_rep
5050.1.1.72,1070245,e2xutA1,already_in_ecod_rep
5.1.3.175,3399919,Q9W281_F1_nD1,already_in_ecod_rep
5.1.4.399,3914876,F6P3V2_F1_nD2,already_in_ecod_rep
5.1.4.406,2233,e2ebsA1,already_in_ecod_rep
5.1.4.413,4457048,Q2TAF3_nD2,ecod_domain_id_collision
69.1.1.11,2298,e1dq3A1,already_in_ecod_rep
7523.1.1.55,4599787,P47431_nD1,ecod_domain_id_collision
7579.1.1.140,3280752,K0EMF2_F1_nD2,already_in_ecod_rep
7581.1.1.36,4462618,O26884_nD1,ecod_domain_id_collision
