domain_id,source_id,length,range,source_type,f_group_id,f_name,estimated_fingers,is_discontinuous
nD2,E9PWW6_F1,435,"431-685,756-820,856-970",computed structural model,386.1.1.18,zf-C2H2_jaz,15.5,True
nD3,A0A3P7FIH7_F1,338,"256-453,586-695,861-890",computed structural model,386.1.1.1,zf-C2H2,12.1,True
nD1,A0A3P7F7C6_F1,330,"201-410,476-595",computed structural model,386.1.1.18,zf-C2H2_jaz,11.8,True
nD1,Q9UH90_F1,304,"11-150,396-405,476-545,572-655",computed structural model,386.1.1.73,F-box_4,10.9,True
nD1,A0A0N4UA96_F1,300,1-300,computed structural model,386.1.1.50,Nairovirus_Gn,10.7,False
nD2,M0RDU3_F1,295,"116-135,161-435",computed structural model,386.1.1.1,zf-C2H2,10.5,True
nD2,A4I3A7_F1,293,"136-255,356-365,416-578",computed structural model,386.1.1.1,zf-C2H2,10.5,True
nD1,P59817_F1,284,241-524,computed structural model,386.1.1.1,zf-C2H2,10.1,False
nD1,A0A3Q0KEZ3_F1,281,"12-234,276-305,348-375",computed structural model,386.1.1.50,Nairovirus_Gn,10.0,True
nD4,A4I026_F1,280,631-910,computed structural model,386.1.1.1,zf-C2H2,10.0,False
nD5,A0A5K4EUH5_F1,278,"491-590,716-790,813-915",computed structural model,386.1.1.1,zf-C2H2,9.9,True
nD3,A0A0K0E5N9_F1,275,316-590,computed structural model,386.1.1.50,Nairovirus_Gn,9.8,False
nD1,A0A1L1QZ85_F1,273,"266-295,321-450,476-555,711-743",computed structural model,386.1.1.1,zf-C2H2,9.8,True
nD5,A1ZAV3_F1,270,1021-1290,computed structural model,386.1.1.1,zf-C2H2,9.6,False
nD5,A0A3Q0KNB7_F1,260,"861-985,1136-1270",computed structural model,386.1.1.50,Nairovirus_Gn,9.3,True
nD1,A0A3P7FCU4_F1,260,241-500,computed structural model,386.1.1.1,zf-C2H2,9.3,False
nD2,A8E7N7_F1,255,"391-590,646-700",computed structural model,386.1.1.1,zf-C2H2,9.1,True
nD1,A0A044UDT7_F1,253,163-415,computed structural model,386.1.1.1,zf-C2H2,9.0,False
nD1,C1M0Z0_F1,245,11-255,computed structural model,386.1.1.1,zf-C2H2,8.8,False
nD5,Q389A9_F1,240,646-885,computed structural model,386.1.1.1,zf-C2H2,8.6,False
nD1,Q9BQA5_F1,238,13-250,computed structural model,386.1.1.50,Nairovirus_Gn,8.5,False
nD8,A0A3Q0KQP3_F1,238,"936-1063,1201-1310",computed structural model,386.1.1.1,zf-C2H2,8.5,True
nD4,A0A5K4F158_F1,235,"376-535,671-745",computed structural model,386.1.1.9,zf-U1,8.4,True
nD7,A0A3Q0KQP3_F1,235,581-815,computed structural model,386.1.1.6,ARS2,8.4,False
nD2,A0A175WGV8_F1,233,"151-215,328-495",computed structural model,386.1.1.1,zf-C2H2,8.3,True
nD1,A0A0D2GRJ1_F1,230,"766-820,891-1065",computed structural model,386.1.1.1,zf-C2H2,8.2,True
nD1,A0A0N4U0H8_F1,230,"46-230,261-305",computed structural model,386.1.1.1,zf-C2H2,8.2,True
nD5,Q8C0P7_F1,230,"201-310,351-360,391-405,466-560",computed structural model,386.1.1.50,Nairovirus_Gn,8.2,True
nD4,A0A3Q0KNB7_F1,225,"341-440,606-730",computed structural model,386.1.1.50,Nairovirus_Gn,8.0,True
nD1,D3ZNU4_F1,223,271-493,computed structural model,386.1.1.1,zf-C2H2,8.0,False
nD15,A0A044V925_F1,220,"1421-1595,1641-1650,1876-1910",computed structural model,386.1.1.50,Nairovirus_Gn,7.9,True
nD1,U7PJB5_F1,215,"11-125,461-560",computed structural model,,,7.7,True
nD2,C1GW95_F1,215,"276-310,376-455,491-590",computed structural model,386.1.1.50,Nairovirus_Gn,7.7,True
nD1,A0A1C1CLC4_F1,210,"446-605,706-755",computed structural model,386.1.1.50,Nairovirus_Gn,7.5,True
nD1,D3ZAT1_F1,210,11-220,computed structural model,386.1.1.50,Nairovirus_Gn,7.5,False
nD6,Q9Y2Q1_F1,200,256-455,computed structural model,386.1.1.1,zf-C2H2,7.1,False
nD3,Q8NDW4_F1,200,291-490,computed structural model,386.1.1.1,zf-C2H2,7.1,False
nD1,A4I4E7_F1,195,1-195,computed structural model,386.1.1.105,IPPT,7.0,False
nD1,A0A5K4EIB4_F1,195,31-225,computed structural model,386.1.1.68,NOA36,7.0,False
nD2,Q4KLI1_F1,195,346-540,computed structural model,386.1.1.1,zf-C2H2,7.0,False
nD5,A2AU83_F1,195,241-435,computed structural model,386.1.1.1,zf-C2H2,7.0,False
nD4,Q2TB10_F1,193,"331-380,481-590,616-648",computed structural model,386.1.1.50,Nairovirus_Gn,6.9,True
nD2,A0A0D2FGL9_F1,190,281-470,computed structural model,386.1.1.50,Nairovirus_Gn,6.8,False
nD2,A0A175WCD2_F1,190,"46-60,381-480,511-585",computed structural model,386.1.1.1,zf-C2H2,6.8,True
nD3,A0A1C1CEW0_F1,185,381-565,computed structural model,386.1.1.50,Nairovirus_Gn,6.6,False
nD1,O01933_F1,180,76-255,computed structural model,386.1.1.50,Nairovirus_Gn,6.4,False
nD3,D3ZR64_F1,180,"111-265,291-315",computed structural model,386.1.1.1,zf-C2H2,6.4,True
nD4,C0NRC2_F1,180,86-265,computed structural model,386.1.1.107,,6.4,False
nD1,A0A0D2GXM2_F1,180,276-455,computed structural model,386.1.1.50,Nairovirus_Gn,6.4,False
nD1,P62932_F1,179,"11-100,478-500,578-643",computed structural model,386.1.1.29,zf-TRAF_2,6.4,True
nD3,A0A0N4UR84_F1,175,"321-465,496-525",computed structural model,386.1.1.50,Nairovirus_Gn,6.2,True
nD7,A0A158Q436_F1,175,811-985,computed structural model,386.1.1.50,Nairovirus_Gn,6.2,False
nD2,Q8N1G0_F1,175,"556-610,671-790",computed structural model,386.1.1.50,Nairovirus_Gn,6.2,True
nD2,A0A044SDQ5_F1,175,"161-240,286-380",computed structural model,386.1.1.1,zf-C2H2,6.2,True
nD1,A0A175VNN8_F1,172,"141-284,306-333",computed structural model,386.1.1.1,zf-C2H2,6.1,True
nD9,Q8N7K0_F1,170,336-505,computed structural model,386.1.1.1,zf-C2H2,6.1,False
nD4,Q9NR11_F1,170,"221-250,331-470",computed structural model,386.1.1.1,zf-C2H2,6.1,True
nD1,A0A175W6T6_F1,170,"346-450,531-595",computed structural model,386.1.1.1,zf-C2H2,6.1,True
nD4,P24349_F1,168,"116-140,231-330,503-545",computed structural model,386.1.1.25,zf-H2C2_5,6.0,True
nD2,A0A0K0DYA7_F1,165,41-205,computed structural model,386.1.1.50,Nairovirus_Gn,5.9,False
nD2,P17029_F1,165,346-510,computed structural model,386.1.1.50,Nairovirus_Gn,5.9,False
nD5,A0A0N4UR83_F1,165,"211-330,361-405",computed structural model,386.1.1.1,zf-C2H2,5.9,True
nD2,Q6PDB4_F1,165,186-350,computed structural model,386.1.1.1,zf-C2H2,5.9,False
nD6,E9QC72_F1,165,186-350,computed structural model,386.1.1.1,zf-C2H2,5.9,False
nD3,A0A0D2HGN5_F1,165,711-875,computed structural model,386.1.1.1,zf-C2H2,5.9,False
nD11,D3ZKP7_F1,165,471-635,computed structural model,386.1.1.1,zf-C2H2,5.9,False
nD2,P16415_F1,165,136-300,computed structural model,386.1.1.1,zf-C2H2,5.9,False
nD1,C1H764_F1,164,"26-100,286-374",computed structural model,386.1.1.50,Nairovirus_Gn,5.9,True
